# CVS $Revision$ $Author$ -- Thu Jan  8 22:23:01 2009 -- reformated by prettylst.pl v1.38 (build 8180)
#Original Entry: Joe Frazier, Clean up by Andrew Maitland


# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object							Plural description for UI	Display Location
ABILITYCATEGORY:Magical Boon Minor		VISIBLE:YES		EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MinorBoon							PLURAL:Minor Boons		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magical Boon Moderate	VISIBLE:YES		EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ModerateBoon							PLURAL:Moderate Boons		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magical Boon Major		VISIBLE:YES		EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MajorBoon							PLURAL:Major Boons		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Spell Lists			VISIBLE:YES		EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SpellLists							PLURAL:Spell Lists		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Mage Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Metamagic.ItemCreation.Tradition			PLURAL:Mage Feats			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Taskmage Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:TaskmageFeat.Metamagic.ItemCreation.Tradition	PLURAL:Taskmage Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Taskmage Skill Mastery	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TaskmageSkillMastery					PLURAL:Skillmastery		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Magical Tradition		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MagicalTradition						PLURAL:Magical Traditions	DISPLAYLOCATION:Magical Traditions

#
# End
#
