# CVS $Revision$ $Author$ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Mongoose Publishing - Slayer's Guide to Amazons	SOURCESHORT:SGtAmazons	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2001-01

# Spell Name	Type		Domains granting the spell	School			Components		Casting Time	Range			Item		Target Area or Effect			Duration				Save Info			Spell Resistance	Source Page		Description
Cold of Night	TYPE:Divine	DOMAINS:Moon=8			SCHOOL:Evocation		COMPS:V S DF	CASTTIME:1 round	RANGE:Medium	ITEM:Potion	TARGETAREA:Creatures within area	DURATION:Instantantenous	SAVEINFO:Reflex half	SPELLRES:Yes	SOURCEPAGE:p.26	DESC:See text
Mother's Milk	TYPE:Divine	DOMAINS:Moon=5			SCHOOL:Transmutation	COMPS:V S M DF	CASTTIME:1 round	RANGE:Touch				TARGETAREA:Vessel touched		DURATION:Instantantenous	SAVEINFO:None		SPELLRES:No		SOURCEPAGE:p.26	DESC:See text

###Block: SPELL.MOD generated from the old CLASSSPELL files
# Spell Name					Domains granting the spell
Cause Fear.MOD					DOMAINS:Moon=1
Circle of Death.MOD				DOMAINS:Moon=7
Cone of Cold.MOD					DOMAINS:Moon=6
Darkness.MOD					DOMAINS:Moon=2
Deeper Darkness.MOD				DOMAINS:Moon=3
Etherealness.MOD					DOMAINS:Moon=9
Globe of Invulnerability.MOD			DOMAINS:Sisterhood=7
Invisibility Sphere.MOD				DOMAINS:Sisterhood=4
Globe of Invulnerability (Lesser).MOD	DOMAINS:Sisterhood=5
Prayer.MOD						DOMAINS:Sisterhood=3
Protection from Spells.MOD			DOMAINS:Sisterhood=9
Quench.MOD						DOMAINS:Moon=4
Shield.MOD						DOMAINS:Sisterhood=1
Shield Other.MOD					DOMAINS:Sisterhood=2
Unholy Aura.MOD					DOMAINS:Sisterhood=8
Veil.MOD						DOMAINS:Sisterhood=6
