# CVS $Revision$ $Author$ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Legacy of Fire Player's Guide	SOURCESHORT:LoFPG	SOURCEWEB:http://paizo.com/paizo/messageboards/paizo/products/v5748btpy84bh	SOURCEDATE:2009-02

###Block: Specific Familiars
# Class of the Master	Type			Ability								Required Race			Apply Kit					Add
FOLLOWER:FamiliarLVL=1	TYPE:Familiar										PRERACE:1,Brushtail Fennec	KIT:1|Brushtail Fennec Familiar
FOLLOWER:FamiliarLVL=1	TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Speak One Language	PRERACE:1,Bustard			KIT:1|Bustard Familiar			ADD:LANGUAGE|TYPE=Spoken
FOLLOWER:FamiliarLVL=1	TYPE:Familiar										PRERACE:1,Jerboa			KIT:1|Jerboa Familiar
FOLLOWER:FamiliarLVL=1	TYPE:Familiar										PRERACE:1,Lashtail Scorpion	KIT:1|Lashtail Scorpion Familiar
FOLLOWER:FamiliarLVL=1	TYPE:Familiar										PRERACE:1,Solifugid		KIT:1|Solifugid Familiar

###Block:Familiar Bonuses to Master
# Race of familiar			Type			Bonus to skill		Ability
MASTERBONUSRACE:Brushtail Fennec	TYPE:Familiar	BONUS:SKILL|Search|3	ABILITY:FEAT|VIRTUAL|Alertness
MASTERBONUSRACE:Bustard			TYPE:Familiar	BONUS:SKILL|Listen|3	ABILITY:FEAT|VIRTUAL|Alertness
MASTERBONUSRACE:Jerboa			TYPE:Familiar	BONUS:SKILL|Jump|3	ABILITY:FEAT|VIRTUAL|Alertness
MASTERBONUSRACE:Lashtail Scorpion	TYPE:Familiar	BONUS:SKILL|Survival|3	ABILITY:FEAT|VIRTUAL|Alertness
MASTERBONUSRACE:Solifugid		TYPE:Familiar	BONUS:SKILL|Bluff|3	ABILITY:FEAT|VIRTUAL|Alertness

#
# End
#
