# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Revised (v.3.5) System Reference Document	SOURCESHORT:RSRD	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35	SOURCEDATE:2000-01


###Block: Epic Class Feat Pool MODs
#Barbarian
# Feat Name						Type
Armor Skin.MOD					TYPE:EpicBarbarian
Chaotic Rage.MOD					TYPE:EpicBarbarian
Damage Reduction.MOD				TYPE:EpicBarbarian
Devastating Critical.MOD			TYPE:EpicBarbarian
Dire Charge.MOD					TYPE:EpicBarbarian
Epic Endurance.MOD				TYPE:EpicBarbarian
Epic Prowess.MOD					TYPE:EpicBarbarian
Epic Speed.MOD					TYPE:EpicBarbarian
Epic Toughness.MOD				TYPE:EpicBarbarian
Epic Weapon Focus.MOD				TYPE:EpicBarbarian
Fast Healing.MOD					TYPE:EpicBarbarian
Incite Rage.MOD					TYPE:EpicBarbarian
Legendary Climber.MOD				TYPE:EpicBarbarian
Legendary Leaper.MOD				TYPE:EpicBarbarian
Legendary Rider.MOD				TYPE:EpicBarbarian
Legendary Tracker.MOD				TYPE:EpicBarbarian
Legendary Wrestler.MOD				TYPE:EpicBarbarian
Mighty Rage.MOD					TYPE:EpicBarbarian
Overwhelming Critical.MOD			TYPE:EpicBarbarian
Ruinous Rage.MOD					TYPE:EpicBarbarian
Terrifying Rage.MOD				TYPE:EpicBarbarian
Thundering Rage.MOD				TYPE:EpicBarbarian

#Bard
Augmented Alchemy.MOD				TYPE:EpicBard
Deafening Song.MOD				TYPE:EpicBard
Epic Inspiration.MOD				TYPE:EpicBard
Epic Leadership.MOD				TYPE:EpicBard
Epic Reputation.MOD				TYPE:EpicBard
Epic Skill Focus.MOD				TYPE:EpicBard
Group Inspiration.MOD				TYPE:EpicBard
Hindering Song.MOD				TYPE:EpicBard
Improved Combat Casting.MOD			TYPE:EpicBard
Improved Metamagic.MOD				TYPE:EpicBard
Improved Spell Capacity.MOD			TYPE:EpicBard
Inspire Excellence.MOD				TYPE:EpicBard
Lasting Inspiration.MOD				TYPE:EpicBard
Master Staff.MOD					TYPE:EpicBard
Master Wand.MOD					TYPE:EpicBard
Music of the Gods.MOD				TYPE:EpicBard
Permanent Emanation.MOD				TYPE:EpicBard
Polyglot.MOD					TYPE:EpicBard
Ranged Inspiration.MOD				TYPE:EpicBard
Rapid Inspiration.MOD				TYPE:EpicBard
Reactive Countersong.MOD			TYPE:EpicBard
Spell Knowledge.MOD				TYPE:EpicBard
Spell Opportunity.MOD				TYPE:EpicBard
Spell Stowaway.MOD				TYPE:EpicBard
Tenacious Magic.MOD				TYPE:EpicBard

#Cleric
Armor Skin.MOD					TYPE:EpicCleric
Automatic Quicken Spell.MOD			TYPE:EpicCleric
Automatic Silent Spell.MOD			TYPE:EpicCleric
Automatic Still Spell.MOD			TYPE:EpicCleric
Bonus Domain.MOD					TYPE:EpicCleric
Enhance Spell.MOD					TYPE:EpicCleric
Epic Spell Focus.MOD				TYPE:EpicCleric
Epic Spell Penetration.MOD			TYPE:EpicCleric
Epic Spellcasting.MOD				TYPE:EpicCleric
Ignore Material Components.MOD		TYPE:EpicCleric
Improved Alignment Based Casting.MOD	TYPE:EpicCleric
Improved Combat Casting.MOD			TYPE:EpicCleric
Improved Heighten Spell.MOD			TYPE:EpicCleric
Improved Metamagic.MOD				TYPE:EpicCleric
Improved Spell Capacity.MOD			TYPE:EpicCleric
Intensify Spell.MOD				TYPE:EpicCleric
Multispell.MOD					TYPE:EpicCleric
Negative Energy Burst.MOD			TYPE:EpicCleric
Permanent Emanation.MOD				TYPE:EpicCleric
Planar Turning.MOD				TYPE:EpicCleric
Positive Energy Aura.MOD			TYPE:EpicCleric
Spectral Strike.MOD				TYPE:EpicCleric
Spell Opportunity.MOD				TYPE:EpicCleric
Spell Stowaway.MOD				TYPE:EpicCleric
Spontaneous Domain Access.MOD			TYPE:EpicCleric
Spontaneous Spell.MOD				TYPE:EpicCleric
Tenacious Magic.MOD				TYPE:EpicCleric
Undead Mastery.MOD				TYPE:EpicCleric
Zone of Animation.MOD				TYPE:EpicCleric

#Druid
Automatic Quicken Spell.MOD			TYPE:EpicDruid
Automatic Silent Spell.MOD			TYPE:EpicDruid
Automatic Still Spell.MOD			TYPE:EpicDruid
Colossal Wild Shape.MOD				TYPE:EpicDruid
Diminutive Wild Shape.MOD			TYPE:EpicDruid
Dragon Wild Shape.MOD				TYPE:EpicDruid
Energy Resistance ~ Acid.MOD			TYPE:EpicDruid
Energy Resistance ~ Cold.MOD			TYPE:EpicDruid
Energy Resistance ~ Electricity.MOD		TYPE:EpicDruid
Energy Resistance ~ Fire.MOD			TYPE:EpicDruid
Energy Resistance ~ Sonic.MOD			TYPE:EpicDruid
Enhance Spell.MOD					TYPE:EpicDruid
Epic Spell Focus.MOD				TYPE:EpicDruid
Epic Spell Penetration.MOD			TYPE:EpicDruid
Epic Spellcasting.MOD				TYPE:EpicDruid
Fast Healing.MOD					TYPE:EpicDruid
Fine Wild Shape.MOD				TYPE:EpicDruid
Gargantuan Wild Shape.MOD			TYPE:EpicDruid
Ignore Material Components.MOD		TYPE:EpicDruid
Improved Combat Casting.MOD			TYPE:EpicDruid
Improved Elemental Wild Shape.MOD		TYPE:EpicDruid
Improved Heighten Spell.MOD			TYPE:EpicDruid
Improved Metamagic.MOD				TYPE:EpicDruid
Improved Spell Capacity.MOD			TYPE:EpicDruid
Intensify Spell.MOD				TYPE:EpicDruid
Magical Beast Companion.MOD			TYPE:EpicDruid
Magical Beast Wild Shape.MOD			TYPE:EpicDruid
Multispell.MOD					TYPE:EpicDruid
Perfect Health.MOD				TYPE:EpicDruid
Permanent Emanation.MOD				TYPE:EpicDruid
