# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Path of Magic	SOURCESHORT:Magic	SOURCEWEB:http://www.fantasyflightgames.com/llpom.html	SOURCEDATE:2002-01
# Original Entry by: Ratheof Blithwyn




# The Mind Weavers choice of spells
# Spell Name				Classes of caster
Dancing Lights.MOD			CLASSES:Mind Weaver=0
Daze.MOD					CLASSES:Mind Weaver=0
Detect Magic.MOD				CLASSES:Mind Weaver=0
Mage Hand.MOD				CLASSES:Mind Weaver=0
Mending.MOD					CLASSES:Mind Weaver=0
Open/Close.MOD				CLASSES:Mind Weaver=0
Prestidigitation.MOD			CLASSES:Mind Weaver=0

Animate Rope.MOD				CLASSES:Mind Weaver=1
Cause Fear.MOD				CLASSES:Mind Weaver=1
Charm Person.MOD				CLASSES:Mind Weaver=1
Color Spray.MOD				CLASSES:Mind Weaver=1
Entropic Shield.MOD			CLASSES:Mind Weaver=1
Expeditious Retreat.MOD			CLASSES:Mind Weaver=1
Feather Fall.MOD				CLASSES:Mind Weaver=1
Hold Portal.MOD				CLASSES:Mind Weaver=1
Hypnotism.MOD				CLASSES:Mind Weaver=1
Jump.MOD					CLASSES:Mind Weaver=1
Mage Armor.MOD				CLASSES:Mind Weaver=1
Magic Missile.MOD				CLASSES:Mind Weaver=1
Pass without Trace.MOD			CLASSES:Mind Weaver=1
Shield.MOD					CLASSES:Mind Weaver=1
Sleep.MOD					CLASSES:Mind Weaver=1
Spider Climb.MOD				CLASSES:Mind Weaver=1
Floating Disk.MOD				CLASSES:Mind Weaver=1
True Strike.MOD				CLASSES:Mind Weaver=1

Blur.MOD					CLASSES:Mind Weaver=2
Bull's Strength.MOD			CLASSES:Mind Weaver=2
Cat's Grace.MOD				CLASSES:Mind Weaver=2
Darkvision.MOD				CLASSES:Mind Weaver=2
Detect Thoughts.MOD			CLASSES:Mind Weaver=2
Enthrall.MOD				CLASSES:Mind Weaver=2
Flaming Sphere.MOD			CLASSES:Mind Weaver=2
Levitate.MOD				CLASSES:Mind Weaver=2
Locate Object.MOD				CLASSES:Mind Weaver=2
Make Whole.MOD				CLASSES:Mind Weaver=2
Minor Image.MOD				CLASSES:Mind Weaver=2
Mirror Image.MOD				CLASSES:Mind Weaver=2
Protection from Arrows.MOD		CLASSES:Mind Weaver=2
Resist Elements.MOD			CLASSES:Mind Weaver=2
See Invisibility.MOD			CLASSES:Mind Weaver=2
Shatter.MOD					CLASSES:Mind Weaver=2
Sound Burst.MOD				CLASSES:Mind Weaver=2
Spectral Hand.MOD				CLASSES:Mind Weaver=2
Suggestion.MOD				CLASSES:Mind Weaver=2
Tongues.MOD					CLASSES:Mind Weaver=2
Undetectable Alignment.MOD		CLASSES:Mind Weaver=2

Charm Monster.MOD				CLASSES:Mind Weaver=3
Clairaudience/Clairvoyance.MOD	CLASSES:Mind Weaver=3
Dispel Magic.MOD				CLASSES:Mind Weaver=3
Displacement.MOD				CLASSES:Mind Weaver=3
Fireball.MOD				CLASSES:Mind Weaver=3
Flame Arrow.MOD				CLASSES:Mind Weaver=3
Fly.MOD					CLASSES:Mind Weaver=3
Haste.MOD					CLASSES:Mind Weaver=3
Hold Person.MOD				CLASSES:Mind Weaver=3
Invisibility Purge.MOD			CLASSES:Mind Weaver=3
Lesser Geas.MOD				CLASSES:Mind Weaver=3
Lightning Bolt.MOD			CLASSES:Mind Weaver=3
Major Image.MOD				CLASSES:Mind Weaver=3
Nondetection.MOD				CLASSES:Mind Weaver=3
Slow.MOD					CLASSES:Mind Weaver=3
