# CVS $Revision$ $Author$ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Fantasy Flight Games - School of Evocation	SOURCESHORT:Evoc	SOURCEWEB:http://www.fantasyflightgames.com/dd41.html	SOURCEDATE:2003-08
# Original entry by: Ratheof Blithwyn

###Block: Proficiencies
# Feat Name					Type			Visible	Auto Weapon Prof
# Ability Name				Category of Ability	Type			Visible	Auto Weapon Prof
Devoted Evoker Weapon Proficiencies	CATEGORY:FEAT		TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Club|Dagger|Crossbow (Heavy)|Crossbow (Light)|Quarterstaff
Order of Akmon Weapon Proficiencies	CATEGORY:FEAT		TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Hammer (Light)|Warhammer

###Block: Discipline mastery for the Devoted Evoker
# Feat Name					Type				Visible	Special ABility
# Ability Name				Category of Ability	Type				Visible	Special ABility
EvocationMasteryAcid			CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Acid
EvocationMasteryCold			CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Cold
EvocationMasteryEnergyConstruct	CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Energy Construct
EvocationMasteryElectricity		CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Electricity
EvocationMasteryFire			CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Fire
EvocationMasteryForce			CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Force
EvocationMasteryLight			CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Light
EvocationMasterySound			CATEGORY:FEAT		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Sound

# Hidden feat: Evocation Library
#Library Acid			CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Acid)
#Library Cold			CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Cold)
#Library Energy Construct	CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Energy Construct)
#Library Electricity		CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Electricity)
#Library Fire			CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Fire)
#Library Force			CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Force)
#Library Light			CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Light)
#Library Sound			CATEGORY:FEAT	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Sound)
