# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
###Block: Proficiencies
# Feat Name					Type			Visible	Auto Weapon Prof
# Ability Name				Category of Ability		Type			Auto Weapon Prof
Devoted Evoker Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	AUTO:WEAPONPROF|Club|Dagger|Crossbow (Heavy)|Crossbow (Light)|Quarterstaff
Order of Akmon Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	AUTO:WEAPONPROF|Hammer (Light)|Warhammer

###Block: Discipline mastery for the Devoted Evoker
# Feat Name					Type				Visible	Special ABility
# Ability Name				Category of Ability		Type				Special ABility
EvocationMasteryAcid			CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Acid
EvocationMasteryCold			CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Cold
EvocationMasteryEnergyConstruct	CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Energy Construct
EvocationMasteryElectricity		CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Electricity
EvocationMasteryFire			CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Fire
EvocationMasteryForce			CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Force
EvocationMasteryLight			CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Light
EvocationMasterySound			CATEGORY:Special Ability	TYPE:EvocationMastery	SAB:Discipline Mastery Sound
