# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Malhavoc Press - Book of Hallowed Might	SOURCESHORT:BoHM	SOURCEWEB:http://www.montecook.com
#Spell names and other proper names from The Book of Hallowed Might are
#	©2001-2005 Monte J. Cook and are used here with his permission.
#Original entry by: Paul "Yes, that Paul" Grosse

# Potions
# Equipment Name					Product Identity?	Output Name				Type								Cost		Weight	Source Page
Potion (Armor Contingency)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.29
Potion (Audible Whisper)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:25	WT:0		SOURCEPAGE:p.30
Potion (Blast of Castigation)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:750	WT:0		SOURCEPAGE:p.30
Potion (Blight Enemy)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:400	WT:0		SOURCEPAGE:p.30
Potion (Burning Brand)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.31
Potion (Carnivorous Defender)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:750	WT:0		SOURCEPAGE:p.31
Potion (Clarity of Mind)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:25	WT:0		SOURCEPAGE:p.31
Potion (Crystal of Reflection)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:300	WT:0		SOURCEPAGE:p.32
Potion (Crystal Shard)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.32
Potion (Divert Charge)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.32
Potion (Godspeed)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:750	WT:0		SOURCEPAGE:p.33
Potion (Grant Quarter (Bonds of Mercy))	NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:300	WT:0		SOURCEPAGE:p.33
Potion (Heartglow)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:400	WT:0		SOURCEPAGE:p.34
Potion (Illuminated Weapon)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:100	WT:0		SOURCEPAGE:p.35
Potion (Pattern of Sibyllic Fate)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.35
Potion (Peaceful Weapon)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:750	WT:0		SOURCEPAGE:p.35
Potion (Redemptive Redress)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.36
Potion (Resist Touch)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:50	WT:0		SOURCEPAGE:p.36
Potion (See No Evil)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:750	WT:0		SOURCEPAGE:p.36
Potion (Touch no Evil)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:300	WT:0		SOURCEPAGE:p.37
Potion (Wild Stealth)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable				COST:300	WT:0		SOURCEPAGE:p.39

#Scrolls
# Equipment Name					Product Identity?	Output Name				Type								Cost		Weight	Source Page
Scroll (Aeonian Lantern)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.29
Scroll (Angel's Redoubt)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:1650	WT:0.01	SOURCEPAGE:p.29
Scroll (Arathan's Spiritual Soldier)	NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:3000	WT:0.01	SOURCEPAGE:p.29
Scroll (Armor Contingency)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.29
Scroll (Audible Whisper)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:12.5	WT:0.01	SOURCEPAGE:p.30
Scroll (Bind with Plants)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.30
Scroll (Blast of Castigation)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.30
Scroll (Blazing Light)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:1650	WT:0.01	SOURCEPAGE:p.30
Scroll (Blight Enemy)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:200	WT:0.01	SOURCEPAGE:p.30
Scroll (Burning Brand)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.31
Scroll (Carnivorous Defender)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.31
Scroll (Clarity of Mind)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Magic.Scroll.Consumable.Divine			COST:12.5	WT:0.01	SOURCEPAGE:p.31
