# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:RPGObjects - Darwin's World - Artifacts of the Ancients	SOURCESHORT:ArtifactsA	SOURCEWEB:http://www.darwinrpg.com	SOURCEDATE:2001-01
# Original entry by wizofice2001

# General: These are all workarounds for EQUIP (CBI and Manuals)
# Manuals: all require Language (Ancient) to be readable

# Feat Name						Type			Required Item							Required Language	Description				Multiple?	Choose					Bonus to skill		Class Skill						Source Page
CBI (Education/Speak Language/Computer)	TYPE:Special	PREITEM:1,CBI (Education Speak Language/Computer)				DESC:Internal for CBI.		MULT:YES	CHOOSE:SKILL|TYPE=Computer.Spoken	BONUS:SKILL|LIST|2								SOURCEPAGE:pp.61-63
Manual (Climb)					TYPE:Special	PREITEM:1,Manual (Climb)					PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Climb					SOURCEPAGE:pp.61-63
Manual (Craft Cybernetics)			TYPE:Special	PREITEM:1,Manual (Craft Cybernetics)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Craft (Cybernetics)			SOURCEPAGE:pp.61-63
Manual (Craft Electrician)			TYPE:Special	PREITEM:1,Manual (Craft Electrician)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Craft (Electrician)			SOURCEPAGE:pp.61-63
Manual (Craft Mechanics)			TYPE:Special	PREITEM:1,Manual (Craft Mechanics)				PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Craft (Mechanics)			SOURCEPAGE:pp.61-63
Manual (Craft Robotics)				TYPE:Special	PREITEM:1,Manual (Craft Robotics)				PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Craft (Robotics)				SOURCEPAGE:pp.61-63
Manual (Craft Technician)			TYPE:Special	PREITEM:1,Manual (Craft Technician)				PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Craft (Technician)			SOURCEPAGE:pp.61-63
Manual (Craft Weaponsmithing)			TYPE:Special	PREITEM:1,Manual (Craft Weaponsmithing)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Craft (Weaponsmithing)			SOURCEPAGE:pp.61-63
Manual (Decipher Script)			TYPE:Special	PREITEM:1,Manual (Decipher Script)				PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Decipher Script				SOURCEPAGE:pp.61-63
Manual (Disable Device)				TYPE:Special	PREITEM:1,Manual (Disable Device)				PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Disable Device				SOURCEPAGE:pp.61-63
Manual (Disguise)					TYPE:Special	PREITEM:1,Manual (Disguise)					PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Disguise					SOURCEPAGE:pp.61-63
Manual (Forgery)					TYPE:Special	PREITEM:1,Manual (Forgery)					PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Forgery					SOURCEPAGE:pp.61-63
Manual (Heal)					TYPE:Special	PREITEM:1,Manual (Heal)						PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Heal						SOURCEPAGE:pp.61-63
Manual (Knowledge Ancient Lore)		TYPE:Special	PREITEM:1,Manual (Knowledge Ancient Lore)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Knowledge (Ancient Lore)		SOURCEPAGE:pp.61-63
Manual (Knowledge Computers)			TYPE:Special	PREITEM:1,Manual (Knowledge Computers)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Knowledge (Computers)			SOURCEPAGE:pp.61-63
Manual (Knowledge Genetics)			TYPE:Special	PREITEM:1,Manual (Knowledge Genetics)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Knowledge (Genetics)			SOURCEPAGE:pp.61-63
Manual (Knowledge Medicine)			TYPE:Special	PREITEM:1,Manual (Knowledge Medicine)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Knowledge (Medicine)			SOURCEPAGE:pp.61-63
Manual (Knowledge Pathology)			TYPE:Special	PREITEM:1,Manual (Knowledge Pathology)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Knowledge (Pathology)			SOURCEPAGE:pp.61-63
Manual (Knowledge Pharmology)			TYPE:Special	PREITEM:1,Manual (Knowledge Pharmology)			PRELANG:1,Ancient	DESC:Internal for Manuals.													CSKILL:Knowledge (Pharmacy)			SOURCEPAGE:pp.61-63
