# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Relics and Rituals	SOURCESHORT:RelicRitual	SOURCEWEB:http://www.swordsorcery.com	SOURCEDATE:2001-01
#Price correction & alphabetical organizing: Paul Grosse

# Equipment Name					Product Identity?	Type								Cost		Weight	Source Page
Scroll (Acid Spittle)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.47
Scroll (Adhere to Wood)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:12.5	WT:0.01	SOURCEPAGE:p.47
Scroll (Alibi)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.47
Scroll (Animal Infusion)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.47-48
Scroll (Animal Spy)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.48
Scroll (Animate Shadow)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.48-49
Scroll (Armor of Undeath)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.49
Scroll (Arrow Charm)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.49
Scroll (Assassin's Senses)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.50
Scroll (Avatar)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3000	WT:0.01	SOURCEPAGE:p.50-51
Scroll (Awaken Lesser Titan Avatar)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.51-52
Scroll (Banish Shadow)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.52
Scroll (Battlecry)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.52
Scroll (Beast Soul)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.52
Scroll (Belsameth's Blessing)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1125	WT:0.01	SOURCEPAGE:p.52-53
Scroll (Belsameth's Strike)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:700	WT:0.01	SOURCEPAGE:p.53
