# Parsed from sources/srd52.pdf, page(s) 89-92.
# Requires srd52__datacontrols.lst for the Mastery fact.

Club	KEY:Club	PROFICIENCY:WEAPON|Club	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Light.Simple.Club	COST:0.1	WT:2	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Slow	SPROP:Light
Dagger	KEY:Dagger	PROFICIENCY:WEAPON|Dagger	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Finesse.Piercing.Finesse.Light.Thrown.Ranged.Simple.Dagger	COST:2	WT:1	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	FACT:RangeLongMult|3	FACT:Mastery|Nick	SPROP:Finesse; Light; Thrown (Range 20/60)
Greatclub	KEY:Greatclub	PROFICIENCY:WEAPON|Greatclub	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Simple.Greatclub	COST:0.2	WT:10	CRITRANGE:1	DAMAGE:1d8	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Push	SPROP:Two-Handed
Handaxe	KEY:Handaxe	PROFICIENCY:WEAPON|Handaxe	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Light.Thrown.Ranged.Simple.Handaxe	COST:5	WT:2	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	FACT:RangeLongMult|3	FACT:Mastery|Vex	SPROP:Light; Thrown (Range 20/60)
Javelin	KEY:Javelin	PROFICIENCY:WEAPON|Javelin	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Thrown.Ranged.Simple.Javelin	COST:0.5	WT:2	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:30	FACT:ShortRange|30	FACT:LongRange|120	FACT:RangeLongMult|4	FACT:Mastery|Slow	SPROP:Thrown (Range 30/120)
Light Hammer	KEY:Light Hammer	PROFICIENCY:WEAPON|Light Hammer	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Light.Thrown.Ranged.Simple.Light Hammer	COST:2	WT:2	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	FACT:RangeLongMult|3	FACT:Mastery|Nick	SPROP:Light; Thrown (Range 20/60)
Mace	KEY:Mace	PROFICIENCY:WEAPON|Mace	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Simple.Mace	COST:5	WT:4	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Sap
Quarterstaff	KEY:Quarterstaff	PROFICIENCY:WEAPON|Quarterstaff	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Simple.Quarterstaff	COST:0.2	WT:4	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d8	FACT:Mastery|Topple	SPROP:Versatile (1d8)
Sickle	KEY:Sickle	PROFICIENCY:WEAPON|Sickle	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Light.Simple.Sickle	COST:1	WT:2	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Nick	SPROP:Light
Spear	KEY:Spear	PROFICIENCY:WEAPON|Spear	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Thrown.Ranged.Simple.Spear	COST:1	WT:3	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d8	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	FACT:RangeLongMult|3	FACT:Mastery|Sap	SPROP:Thrown (Range 20/60); Versatile (1d8)
