# CVS $Revision$ $Author$ -- Wed Feb 15 13:58:48 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2011-01-01

#Block: SRD SKILLS


# SRD Specific Skills
#Craft (Untrained).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ x1|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)
#Sleight of Hand.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Sleight of Hand|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Sleight of Hand),Full Skill Buy(Sleight of Hand)
# Skill Name						Type					Ability
Alchemy.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alchemy|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alchemy),Full Skill Buy (Alchemy)
Animal Empathy.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Animal Empathy|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Animal Empathy),Full Skill Buy (Animal Empathy)
Appraise.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Appraise|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Appraise),Full Skill Buy (Appraise)
Balance.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Balance|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Balance),Full Skill Buy (Balance)
Bluff.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Bluff|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Bluff),Full Skill Buy (Bluff)
Climb.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Climb|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Climb),Full Skill Buy (Climb)
Concentration.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Concentration|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Concentration),Full Skill Buy (Concentration)
Craft (Armorsmithing).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Armorsmithing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Armorsmithing)),Full Skill Buy (Craft (Armorsmithing))
Craft (Basketweaving).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Basketweaving)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Basketweaving)),Full Skill Buy (Craft (Basketweaving))
Craft (Bookbinding).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Bookbinding)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Bookbinding)),Full Skill Buy (Craft (Bookbinding))
