# CVS $Revision$ $Author$ -- Sun Sep  7 15:03:36 2008 -- reformated by prettylst.pl v1.38 (build 7233)
SOURCELONG:Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://dragonwing.net/Faeries.htm
#Original Entry: darkon_turas; clean up by Andrew Maitland

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
# Ability Name		Category of Ability		Type							Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
Clear Skies			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		SAB:Capable spellcasting (electricity)	SAB:Crude spellcasting (acid)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Cyclone			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Hurricane		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Typhoon			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		SAB:+1 to AC rolls 3x/day	SAB:-1 to AC rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Winds			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Animal
The Bird			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Insect			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Mammal			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Reptile			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to AC 3x/day	SAB:-1 to Atteck rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rodent			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Autumn
Autumnal Splendor		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Falling Leaves		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		SAB:Effective spellcasting (sonic)	SAB:-1 to Ineffective spellcasting (force)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Darkening Skies		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		SAB:Capable spellcasting (acid)	SAB:-1 to Crude spellcasting (electricity)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Harvest			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Renewal			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Darkness
The Moon			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	SAB:Practiced spell (chaos)	SAB:Amateur spell (law)						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Night			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	SAB:Effective spellcasting (cold)	SAB:Ineffective spellcasting (fire)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Shadows			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day							DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Stars			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Void			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dawn
The Brilliant Sky		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Emerging Rays		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Resplendent Beams		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day							DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rising Sun		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Capable spellcasting (fore)	SAB:-1 to Crude spellcasting (cold)		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Twilight		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dusk
The Fleeting Rays		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Gloom			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Luminous Clouds	CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day							DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Retreating Luster		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Setting Sun		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		SAB:Capable spellcasting (cold)	SAB:Crude spellcasting (fire)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Earth
The Caverns			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		SAB:Practiced spell	SAB:Amateur spell								DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Fertile Soil		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		SAB:+1 to Fortitude saving throws	SAB:-1 to Reflex saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Mud				CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		SAB:Effective Spellcasting (cold)	SAB:Ineffective Spellcasting (fire)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Ooze				CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Stone				CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		SAB:Capable spellcasting (acid)	SAB:Crude spellcasting (electricity)		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Fire
Ash				CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		SAB:Practiced spell (fire)	SAB:Amateur spell (cold)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Blaze			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		SAB:+1 to Damage rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Firestorm		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Flashfire		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Sparking Embers		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		SAB:Spell resistant (fire)	SAB:Spell vulnerable (cold)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Lights
Brilliant Reflections	CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		SAB:Spell Resistant (chaos)	SAB:Spell vulnerable (law)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Radiance			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Scintillating Light	CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Scintillating Pools	CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Sun Beams			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Plant
The Ferns			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to Will saving throws	SAB:-1 to Reflex saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Flowers			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Grasses			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Mosses			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to Fortitude saving throws	SAB:-1 to AC 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Trees			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Predator
The Arachnid		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	SAB:Practiced spell	SAB:Amateur spell								DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Canine			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Feline			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Raptor			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Serpent			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Prey
The Bovine			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Fish			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Pheasant		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Seal			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to AC 3x/day	SAB:-1 to Attack rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Stag			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Spring
Fertility			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		SAB:+1 to AC 3x/day	SAB:-1 to Attack rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Blooming Splendor		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		SAB:Capable spellcasting (transmutation)	SAB:Crude spellcasting (conjuration)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Sown Earth			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		SAB:Spell resistant (acid)	SAB:Spell vulnerable (sonic)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Vernal Showers		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Spring's Triumph		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		SAB:+1 to Fortitude saving throws	SAB:-1 to Reflex saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Summer
Blazing Sun			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		SAB:Capable spellcasting (light)	SAB:Crude spellcasting (darkness)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Drought			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		SAB:Spell resistant (acid)	SAB:Spell vulnerable (electricity)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Fiery Equinox		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		SAB:Spell resistant (fire)	SAB:Spell vulnerable (water)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Mirage			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Summer's Fury		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Water
The Lake			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		SAB:Capable spellcasting (cold)	SAB:Crude spellcasting (fire)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Ocean			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		SAB:Spell resistant (acid)	SAB:Spell vulnerable (sonic)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The River			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Springs			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Watery Depths		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Winter
The Howling Winds		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Ice			CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Snowdrifts		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		SAB:Spell resistant (electricity)	SAB:Spell vulnerable (sonic)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Stormy Skies		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Winter's Grip		CATEGORY:Special Ability	TYPE:AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
