# CVS $Revision$ $Author$ -- Fri Feb  6 23:25:02 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Path of Shadow	SOURCESHORT:PathShadow	SOURCEWEB:http://www.fantasyflightgames.com/ll.html

# Feat Name				Type
Expertise.MOD			TYPE:QuestionerFeat
Improved Disarm.MOD		TYPE:QuestionerFeat
Improved Knockout Attack.MOD	TYPE:QuestionerFeat
Improved Trip.MOD			TYPE:QuestionerFeat
Keen Vision.MOD			TYPE:QuestionerFeat
Knockout Attack.MOD		TYPE:QuestionerFeat
Run.MOD				TYPE:QuestionerFeat
Shadow (TT).MOD			TYPE:QuestionerFeat
Skill Focus.MOD			TYPE:QuestionerFeat
Track.MOD				TYPE:QuestionerFeat
