# CVS $Revision: $ $Author: $ -- Tue Apr  4 22:27:09 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:The Tome of Horrors Revised	SOURCESHORT:ToHr	SOURCEWEB:http://www.necromancergames.com/
# Initial Author: Aaron Divinsky <boomer70@yahoo.com>

# Deity Name		Domains						Clergy AL		Desciption of Deity/Title		Holy Item	Source Page
The Oinodaemon		DOMAINS:Death,Destruction,Evil		FOLLOWERALIGN:258	DESC:The Oinodaemon			SYMBOL:None	SOURCEPAGE:p. 84
Baphomet			DOMAINS:Chaos,Evil,War				FOLLOWERALIGN:578	DESC:Demon Lord				SYMBOL:None	SOURCEPAGE:p. 101
Dagon				DOMAINS:Chaos,Destruction,Evil,Water	FOLLOWERALIGN:578	DESC:Demon Prince of Sea Creatures	SYMBOL:None	SOURCEPAGE:p. 105
Fraz-Urb'luu		DOMAINS:Chaos,Evil,Knowledge,Trickery	FOLLOWERALIGN:578	DESC:Demon Prince				SYMBOL:None	SOURCEPAGE:p. 111
Geryon			DOMAINS:Evil,Law,Strength			FOLLOWERALIGN:125	DESC:Arch-Devil				SYMBOL:None	SOURCEPAGE:p. 141
Orcus				DOMAINS:Chaos,Death,Destruction,Evil,War	FOLLOWERALIGN:578	DESC:Demon Prince of Undead		SYMBOL:None	SOURCEPAGE:p. 125
Pazuzu			DOMAINS:Air,Chaos,Evil				FOLLOWERALIGN:578	DESC:Demon Prince of Air		SYMBOL:None	SOURCEPAGE:p. 127
Tsathogga			DOMAINS:Chaos,Destruction,Evil,Water	FOLLOWERALIGN:578	DESC:The Frog Demon God			SYMBOL:None	SOURCEPAGE:p. 134
Lucifer			DOMAINS:Evil,Law,Strength,War			FOLLOWERALIGN:125	DESC:Devil					SYMBOL:None	SOURCEPAGE:p. 147
Moloch			DOMAINS:Evil,Law,Strength			FOLLOWERALIGN:125	DESC:Arch Devil				SYMBOL:None	SOURCEPAGE:p. 151

Demon Prince of Gnolls	DOMAINS:Chaos,Evil,Trickery			FOLLOWERALIGN:258	DESC:Demon Prince				SYMBOL:None	SOURCEPAGE:p. 199
The Destroyer		DOMAINS:Chaos,Evil,Strength,War		FOLLOWERALIGN:258	DESC:"The Destroyer"			SYMBOL:None	SOURCEPAGE:p. 281


