# CVS $Revision$ $Author$ -- Wed Nov 17 11:49:58 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea Primer	SOURCESHORT:ISP	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/companion/pathfinderRPG/v5748btpy8hih	SOURCEDATE:2010-11
# Original Entry by:Stefan Radermacher

###Block: Human Ethnicities
# Ability Name	Product Identity?	Category of Ability	Type				Visible		Template						Source Page
Azlanti		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Azlanti)		SOURCEPAGE:p.30
Chelaxian		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Chelaxian)	SOURCEPAGE:p.30
Garundi		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Garundi)		SOURCEPAGE:p.30
Keleshite		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Keleshite)	SOURCEPAGE:p.30
Kellid		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Kellid)		SOURCEPAGE:p.31
Mwangi		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Mwangi)		SOURCEPAGE:p.31
Taldan		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Taldan)		SOURCEPAGE:p.31
Tian			NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian)		SOURCEPAGE:p.31
Ulfen			NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Ulfen)		SOURCEPAGE:p.31
Varisian		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Varisian)		SOURCEPAGE:p.31
Vudrani		NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Vudrani)		SOURCEPAGE:p.31

###Block: Regional Affinities
# Ability Name		Product Identity?	Category of Ability	Type		Visible		Description						Template								Source Page
Absalom			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:City at the Center of the World	TEMPLATE:Regional Affinity (Absalom)			SOURCEPAGE:p.4
Andoran			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Birthplace of Freedom			TEMPLATE:Regional Affinity (Andoran)			SOURCEPAGE:p.4
Belkzen			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Savage Orc Homeland			TEMPLATE:Regional Affinity (Belkzen)			SOURCEPAGE:p.5
Brevoy			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Stuggle Between Noble Houses		TEMPLATE:Regional Affinity (Brevoy)				SOURCEPAGE:p.5
Cheliax			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Diabolical Empire in Decline		TEMPLATE:Regional Affinity (Cheliax)			SOURCEPAGE:p.6
Druma				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Merchant's Religious Paradise		TEMPLATE:Regional Affinity (Druma)				SOURCEPAGE:p.6
Five Kings Mountains	NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Fractured Dwarven Nation			TEMPLATE:Regional Affinity (Five Kings Mountains)	SOURCEPAGE:p.7
Galt				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Eternal Revolution				TEMPLATE:Regional Affinity (Galt)				SOURCEPAGE:p.7
Geb				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Domain of the Dead				TEMPLATE:Regional Affinity (Geb)				SOURCEPAGE:p.8
Irrisen			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Land of Eternal Winter			TEMPLATE:Regional Affinity (Irrisen)			SOURCEPAGE:p.8
Isger				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Thrall of Cheliax				TEMPLATE:Regional Affinity (Isger)				SOURCEPAGE:p.9
Jalmeray			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Kingdom of the Impossible		TEMPLATE:Regional Affinity (Jalmeray)			SOURCEPAGE:p.9
Katapesh			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Bazaar of the Bizarre			TEMPLATE:Regional Affinity (Katapesh)			SOURCEPAGE:p.10
Kyonin			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Kingdom of the Elves			TEMPLATE:Regional Affinity (Kyonin)				SOURCEPAGE:p.10
Lastwall			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Watchful Border Kingdom			TEMPLATE:Regional Affinity (Lastwall)			SOURCEPAGE:p.11
Linnorm Kings		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Frigid Viking Homeland			TEMPLATE:Regional Affinity (Linnorm Kings)		SOURCEPAGE:p.11
Mammoth Lords		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Lost Land of the Distant North		TEMPLATE:Regional Affinity (Mammoth Lords)		SOURCEPAGE:p.12
Mana Wastes			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Magic-Dead Wasteland			TEMPLATE:Regional Affinity (Mana Wastes)			SOURCEPAGE:p.12
Mendev			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Crusader Theocracy				TEMPLATE:Regional Affinity (Mendev)				SOURCEPAGE:p.13
Molthune			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Territorial Expansionists		TEMPLATE:Regional Affinity (Molthune)			SOURCEPAGE:p.13
Mwangi Expanse		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Unexplored Jungle Wilderness		TEMPLATE:Regional Affinity (Mwangi Expanse)		SOURCEPAGE:p.14
Nex				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Monument to a Lost Wizard-King		TEMPLATE:Regional Affinity (Nex)				SOURCEPAGE:p.14
Nidal				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Shadowy Servitor State			TEMPLATE:Regional Affinity (Nidal)				SOURCEPAGE:p.15
Nirmathas			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:War-Torn Wilderness			TEMPLATE:Regional Affinity (Nirmathas)			SOURCEPAGE:p.15
Numeria			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Savage Land of Super-Science		TEMPLATE:Regional Affinity (Numeria)			SOURCEPAGE:p.16
Osirion			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Land of the Pharaohs			TEMPLATE:Regional Affinity (Osirion)			SOURCEPAGE:p.16
Qadira			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Gateway to the East			TEMPLATE:Regional Affinity (Qadira)				SOURCEPAGE:p.17
Rahadoum			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:The Kingdom of Man				TEMPLATE:Regional Affinity (Rahadoum)			SOURCEPAGE:p.17
Razmiran			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Theocracy of the Living God		TEMPLATE:Regional Affinity (Razmiran)			SOURCEPAGE:p.18
River Kingdoms		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Independent Realms of Low Character	TEMPLATE:Regional Affinity (River Kingdoms)		SOURCEPAGE:p.18
Sargava			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:The Lost Colony				TEMPLATE:Regional Affinity (Sargava)			SOURCEPAGE:p.19
Shackles			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Treacherous Pirate Isles			TEMPLATE:Regional Affinity (Shackles)			SOURCEPAGE:p.19
Sodden Lands		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Hurricane-Ravaged Wasteland		TEMPLATE:Regional Affinity (Sodden Lands)			SOURCEPAGE:p.20
Steaming Sea		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Remote Northern Islands			TEMPLATE:Regional Affinity (Steaming Sea)			SOURCEPAGE:p.20
Taldor			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Decadent Failing Empire			TEMPLATE:Regional Affinity (Taldor)				SOURCEPAGE:p.21
Thuvia			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Desert Land of Eternal Youth		TEMPLATE:Regional Affinity (Thuvia)				SOURCEPAGE:p.21
Ustalav			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Fog-Shrouded Land of Gothic Horror	TEMPLATE:Regional Affinity (Ustalav)			SOURCEPAGE:p.22
Varisia			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Wild Frontier Region			TEMPLATE:Regional Affinity (Varisia)			SOURCEPAGE:p.22

###Block: Placeholder objects for no Human Ethnicities or Regional Affinities
# Ability Name	Category of Ability	Type
None			CATEGORY:Background	TYPE:HumanEthnicity.Region
Unknown		CATEGORY:Background	TYPE:HumanEthnicity.Region

#
# End
#
