# CVS $Revision: 11672 $ $Author: eddyanthony $ -- Fri Sep 17 15:33:33 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Sargava, the Lost Colony	SOURCESHORT:StLC	SOURCEWEB:http://paizo.com/pathfinder/pathfinderCompanion/pathfinderRPG/v5748btpy8ey2	SOURCEDATE:2010-07
# Original Entry by: Stefan Radermacher

###Block: Equipment Tricks
# Ability Name	Unique Key					Category of Ability		Type					Ability
Kaava Musk		KEY:Kaava Musk ~ Equipment Trick	CATEGORY:Special Ability	TYPE:Internal.EquipmentTrick	ABILITY:Special Ability|AUTOMATIC|Careful Steps ~ Kaava Musk Trick|PREMULT:1,[PREFEAT:1,Nimble Moves],[PRESKILL:1,Acrobatics=5]	ABILITY:Special Ability|AUTOMATIC|Fast Flask ~ Kaava Musk Trick|PREFEAT:1,Quick Draw	ABILITY:Special Ability|AUTOMATIC|Make the Kill ~ Kaava Musk Trick|PREABILITY:1,CATEGORY=Special Ability,Scent,Scent ~ Rage	ABILITY:Special Ability|AUTOMATIC|Musk Blinding ~ Kaava Musk Trick|PREFEAT:1,Blinding Critical	ABILITY:Special Ability|AUTOMATIC|Musk Poison ~ Kaava Musk Trick|PREABILITY:1,CATEGORY=Special Ability,Poison Use%	ABILITY:Special Ability|AUTOMATIC|Musk Sickening ~ Kaava Musk Trick|PREFEAT:1,Sickening Critical	ABILITY:Special Ability|AUTOMATIC|Reactive Splashing ~ Kaava Musk Trick|PREFEAT:1,Improved Disarm	ABILITY:Special Ability|AUTOMATIC|Splashproof Shield ~ Kaava Musk Trick|PREFEAT:1,Shield Focus	ABILITY:Special Ability|AUTOMATIC|Stink-Fighting ~ Kaava Musk Trick|PREFEAT:1,Blind-Fight

###Block: Kaava Musk Tricks
# Ability Name		Unique Key						Category of Ability		Type						Description																																																																														Source Page
Careful Steps		KEY:Careful Steps ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:You can pass through a square splashed with Kaava musk without getting any of it on you.																																																																SOURCEPAGE:p.25
Fast Flask			KEY:Fast Flask ~ Kaava Musk Trick		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:You can draw an easily accessible flask of Kaava musk as a free action rather than a standard action.																																																														SOURCEPAGE:p.25
Make the Kill		KEY:Make the Kill ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You gain a +1 morale bonus on weapon attack and weapon damage rolls when attacking a target marked with Kaava musk.																																																											SOURCEPAGE:p.25
Musk Blinding		KEY:Musk Blinding ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:When using Kaava musk as a thrown weapon, increase the Fortitude save DC of the blinding critical effect by +5.																																																												SOURCEPAGE:p.25
Musk Poison			KEY:Musk Poison ~ Kaava Musk Trick		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can apply Kaava musk to a melee or thrown weapon as if it were a poison. This makes your weapon reek in the normal manner. However, the first creature struck by your weapon also gains the musk-stink as if it were splashed by a full container of musk 2 days ago. The struck target can wash off the musk on the next round in the normal manner, but otherwise it continues to stink for 2 more days. Kaava musk applied to small items like ammunition has no effect.	SOURCEPAGE:p.25
Musk Sickening		KEY:Musk Sickening ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:When using Kaava musk as a thrown weapon, increase the duration of the sickening critical effect by 1 minute.																																																												SOURCEPAGE:p.25
Reactive Splashing	KEY:Reactive Splashing ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:When disarming an opponent of a flask of Kaava musk, you can have the flask break at your opponent’s feet, automatically splashing him with the musk.																																																					SOURCEPAGE:p.25
Splashproof Shield	KEY:Splashproof Shield ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:If you are using a shield and are hit with Kaava musk, you can make a Reflex save to use the shield to prevent any of the musk from touching you (thus, if you drop the shield, you do not have any of the musk penalties). The DC for this ability is 10 if using a tower shield, 15 for a heavy shield, 20 for a light shield, and 25 for a buckler. You cannot use this trick if you are flat-footed or helpless.											SOURCEPAGE:p.25
Stink-Fighting		KEY:Stink-Fighting ~ Kaava Musk Trick	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Your familiarity with Kaava musk allows you to pinpoint an invisible musk-marked creature with a Perception check at only a -10 penalty rather than the normal -20 penalty.																																																		SOURCEPAGE:p.25

#
# End
#
