# CVS $Revision$ $Author$ -- Sat Oct  2 19:33:06 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Advanced Player's Guide	SOURCESHORT:PFAPG	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8fo1	SOURCEDATE:2010-08
# Original Entry by: Stefan Radermacher & Andrew Maitland


###Block: Mods
# Feat Name					Type
Martial Weapon Proficiency.MOD	TYPE:MartialWeaponProficiency

#Aquatic Bonus Feats:
Athletic.MOD				TYPE:AquaticBloodline
Brew Potion.MOD				TYPE:AquaticBloodline
Defensive Combat Training.MOD		TYPE:AquaticBloodline
Dodge.MOD					TYPE:AquaticBloodline
Mobility.MOD				TYPE:AquaticBloodline
Silent Spell.MOD				TYPE:AquaticBloodline
Toughness.MOD				TYPE:AquaticBloodline

#Boreal Bonus Feats:
Arcane Strike.MOD				TYPE:BorealBloodline
Diehard.MOD					TYPE:BorealBloodline
Empower Spell.MOD				TYPE:BorealBloodline
Endurance.MOD				TYPE:BorealBloodline
Exotic Weapon Proficiency.MOD		TYPE:BorealBloodline
Power Attack.MOD				TYPE:BorealBloodline
Toughness.MOD				TYPE:BorealBloodline

#Deepearth Bonus Feats:

Acrobatic Steps.MOD			TYPE:DeepearthBloodline
Alertness.MOD				TYPE:DeepearthBloodline
Blind-Fight.MOD				TYPE:DeepearthBloodline
Forge Ring.MOD				TYPE:DeepearthBloodline
Nimble Moves.MOD				TYPE:DeepearthBloodline
Stealthy.MOD				TYPE:DeepearthBloodline
Still Spell.MOD				TYPE:DeepearthBloodline

#Dreamspun Bonus Feats: Skill Focus
Alertness.MOD				TYPE:DreamspunBloodline
Blind-Fight.MOD				TYPE:DreamspunBloodline
Combat Expertise.MOD			TYPE:DreamspunBloodline
Deceitful.MOD				TYPE:DreamspunBloodline
Heighten Spell.MOD			TYPE:DreamspunBloodline
Improved Feint.MOD			TYPE:DreamspunBloodline
Persuasive.MOD				TYPE:DreamspunBloodline

#Protean Bloodline Feat Bonus Feats: Skill Focus (Craft [any])
Agile Maneuvers.MOD			TYPE:ProteanBloodline
Defensive Combat Training.MOD		TYPE:ProteanBloodline
Enlarge Spell.MOD				TYPE:ProteanBloodline
Great Fortitude.MOD			TYPE:ProteanBloodline
Improved Great Fortitude.MOD		TYPE:ProteanBloodline
Spell Focus.MOD				TYPE:ProteanBloodline
Toughness.MOD				TYPE:ProteanBloodline

#Serpentine Bonus Feats: Skill Focus
Combat Casting.MOD			TYPE:SerpentineBloodline
Combat Reflexes.MOD			TYPE:SerpentineBloodline
Deceitful.MOD				TYPE:SerpentineBloodline
Deft Hands.MOD				TYPE:SerpentineBloodline
Persuasive.MOD				TYPE:SerpentineBloodline
Silent Spell.MOD				TYPE:SerpentineBloodline
Stealthy.MOD				TYPE:SerpentineBloodline

#Shadow Bonus Feats: Skill Focus
Acrobatic.MOD				TYPE:ShadowBloodline
Blind-Fight.MOD				TYPE:ShadowBloodline
Dodge.MOD					TYPE:ShadowBloodline
Quick Draw.MOD				TYPE:ShadowBloodline
Silent Spell.MOD				TYPE:ShadowBloodline
Stealthy.MOD				TYPE:ShadowBloodline
