# CVS $Revision$ $Author$ -- Mon Jan 17 06:06:23 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Core Rulebook	SOURCESHORT:PFCR	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy88yj	SOURCEDATE:2009-08

###Block: Material Components
# Equipment Name			Type						Cost		Weight	Special Property
Amber Dust (1000 gp)		TYPE:MaterialComponent.Consumable	COST:1000	WT:0		SPROP:Material Component for Teleportation Circle
Crushed Black Pearl (500 gp)	TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Circle of Death
Crushed Jade (250 gp)		TYPE:MaterialComponent.Consumable	COST:250	WT:0		SPROP:Material Component for False Vision
Diamond (500 gp)			TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Protection from Spells
Diamond (1500 gp)			TYPE:MaterialComponent.Consumable	COST:1500	WT:0		SPROP:Material Component for Limited Wish
Diamond (5000 gp)			TYPE:MaterialComponent.Consumable	COST:5000	WT:0		SPROP:Material Component for Raise Dead
Diamond (10000 gp)		TYPE:MaterialComponent.Consumable	COST:10000	WT:0		SPROP:Material Component for Resurrection
Diamond (25000 gp)		TYPE:MaterialComponent.Consumable	COST:25000	WT:0		SPROP:Material Component for True Resurrection or Wish
Diamond Dust (50 gp)		TYPE:MaterialComponent.Consumable	COST:50	WT:0		SPROP:Material Component for Nondetection
Diamond Dust (100 gp)		TYPE:MaterialComponent.Consumable	COST:100	WT:0		SPROP:Material Component for Restoration
Diamond Dust (250 gp)		TYPE:MaterialComponent.Consumable	COST:250	WT:0		SPROP:Material Component for Stoneskin
Diamond Dust (500 gp)		TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Undeath to Death
Diamond Dust (1000 gp)		TYPE:MaterialComponent.Consumable	COST:1000	WT:0		SPROP:Material Component for Restoration
Diamond Dust (5000 gp)		TYPE:MaterialComponent.Consumable	COST:5000	WT:0		SPROP:Material Component for Greater Restoration
Diamond Dust (25000 gp)		TYPE:MaterialComponent.Consumable	COST:25000	WT:0		SPROP:Material Component for Miracle
