# CVS $Revision$ $Author$ -- Mon Jan 17 06:06:23 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Core Rulebook	SOURCESHORT:PFCR	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy88yj	SOURCEDATE:2009-08
# Original Entry by: Stefan Radermacher

###Block: Poisons
# Equipment Name				Output Name		Type					Cost		Weight	Source Page		Special Property
Poison (Arsenic)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.558	SPROP:Ingested; Fort DC 13; Onset 10 min; Freq 1 min (4); Effect 1d2 Con dmg; Cure 1 save
Poison (Belladonna)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0		SOURCEPAGE:p.558	SPROP:Ingested; Fort DC 14; Onset 10 min; Freq 1 min (6); Effect 1d2 Str dmg (plus attempt lycanthropy cure if within 1 hour); Cure 1 save
Poison (Black Adder Venom)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.558	SPROP:Injury; Fort DC 11; Freq 1 rnd (6); Effect 1d2 Con dmg; Cure 1 save
Poison (Black Lotus Extract)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:4500	WT:0		SOURCEPAGE:p.558	SPROP:Contact; Fort DC 20; Onset 1 min; Freq 1 rnd (6); Effect 1d6 Con dmg; Cure 2 consecutive save
Poison (Bloodroot)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0		SOURCEPAGE:p.558	SPROP:Injury; Fort DC 12; Onset 1 rnd; Freq 1 rnd (4); Effect 1 Con dmg and 1 Wis dmg; Cure 1 save
Poison (Blue Whinnis)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0		SOURCEPAGE:p.558	SPROP:Injury; Fort DC 14; Freq 1 rnd (2); Effect 1 Con dmg/unconsciousness for 1d3 hrs; Cure 1 save
Poison (Burnt Othur Fumes)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:2100	WT:0		SOURCEPAGE:p.558	SPROP:Inhaled; Fort DC 18; Freq 1 rnd (6); Effect 1 Con drain/1d3 Con dmg; Cure 2 consecutive saves
Poison (Dark Reaver Powder)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:800	WT:0		SOURCEPAGE:p.558	SPROP:Ingested; Fort DC 18; Onset 10 min; Freq 1 min (6); Effect 1d3 Con dmg and 1 Str dmg; Cure 2 consecutive saves
Poison (Deathblade)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1800	WT:0		SOURCEPAGE:p.558	SPROP:Injury; Fort DC 20; Freq 1 rnd (6); Effect 1d3 Con dmg; Cure 2 consecutive saves
Poison (Dragon Bile)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0		SOURCEPAGE:p.558	SPROP:Contact; Fort DC 26; Freq 1 rnd (6); Effect 1d3 Str dmg; no cure
