# CVS $Revision: 1074 $ $Author: stefan $ -- Tue Feb 10 15:46:30 2009 -- reformated by prettylst.pl v1.39 (build 9329)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08

## Block: Material Components
# Equipment Name				Type						Cost		Weight	Special Property
Amber Dust (1000 gp)			TYPE:MaterialComponent.Consumable	COST:1000	WT:0		SPROP:Material Component for Teleportation Circle
Crushed Black Pearl (500 gp)		TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Circle of Death
Crushed Jade (250 gp)			TYPE:MaterialComponent.Consumable	COST:250	WT:0		SPROP:Material Component for False Vision
Diamond (500 gp)				TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Protection from Spells
Diamond (1500 gp)				TYPE:MaterialComponent.Consumable	COST:1500	WT:0		SPROP:Material Component for Limited Wish
Diamond (5000 gp)				TYPE:MaterialComponent.Consumable	COST:5000	WT:0		SPROP:Material Component for Raise Dead
Diamond (10000 gp)			TYPE:MaterialComponent.Consumable	COST:10000	WT:0		SPROP:Material Component for Resurrection
Diamond (25000 gp)			TYPE:MaterialComponent.Consumable	COST:25000	WT:0		SPROP:Material Component for True Resurrection or Wish
Diamond Dust (50 gp)			TYPE:MaterialComponent.Consumable	COST:50	WT:0		SPROP:Material Component for Nondetection
Diamond Dust (100 gp)			TYPE:MaterialComponent.Consumable	COST:100	WT:0		SPROP:Material Component for Restoration
Diamond Dust (250 gp)			TYPE:MaterialComponent.Consumable	COST:250	WT:0		SPROP:Material Component for Stoneskin
Diamond Dust (500 gp)			TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Undeath to Death
Diamond Dust (1000 gp)			TYPE:MaterialComponent.Consumable	COST:1000	WT:0		SPROP:Material Component for Restoration
Diamond Dust (5000 gp)			TYPE:MaterialComponent.Consumable	COST:5000	WT:0		SPROP:Material Component for Greater Restoration
Diamond Dust (25000 gp)			TYPE:MaterialComponent.Consumable	COST:25000	WT:0		SPROP:Material Component for Miracle
Gem Dust (5000 gp)			TYPE:MaterialComponent.Consumable	COST:5000	WT:0		SPROP:Material Component for Temporal Stasis
Gold Dust (25 gp)				TYPE:MaterialComponent.Consumable	COST:25	WT:0		SPROP:Material Component for Arcane Lock or Fire Trap
Herbs and Oils (2000 gp)		TYPE:MaterialComponent.Consumable	COST:2000	WT:0		SPROP:Material Component for Awaken
Incense (25 gp)				TYPE:MaterialComponent.Consumable	COST:25	WT:0		SPROP:Material Component for Augury
Incense (250 gp)				TYPE:MaterialComponent.Consumable	COST:250	WT:0		SPROP:Material Component for Legend Lore
Incense (500 gp)				TYPE:MaterialComponent.Consumable	COST:500	WT:0		SPROP:Material Component for Commune
Jade Circlet (1500 gp)			TYPE:MaterialComponent.Consumable	COST:1500	WT:0		SPROP:Material Component for Shapechange
Jade Dust (25 gp)				TYPE:MaterialComponent.Consumable	COST:25	WT:0		SPROP:Material Component for Programmed Image
Oils (1000 gp)				TYPE:MaterialComponent.Consumable	COST:1000	WT:0		SPROP:Material Component for Reincarnate
Ointment (250 gp)				TYPE:MaterialComponent.Consumable	COST:250	WT:0		SPROP:Material Component for True Seeing
Onyx (25 gp)				TYPE:MaterialComponent.Consumable	COST:25	WT:0		SPROP:Material Component for Animate Dead
Powdered Silver (25 gp)			TYPE:MaterialComponent.Consumable	COST:25	WT:5		SPROP:Material Component for Bless Water, Consecrate, or Curse Water
Ruby Dust (50 gp)				TYPE:MaterialComponent.Consumable	COST:50	WT:0		SPROP:Material Component for Continual Flame
Small Replica of Self (5 gp)		TYPE:MaterialComponent.Consumable	COST:5	WT:0		SPROP:Material Component for Project Image
# To Do
# Divination - incesne and appropriate offering worth 25 gp
# Refuge - a prepared object worth 1500 gp

## Block: Foci
# Equipment Name				Type						Cost		Weight	Special Property
Diamond (1000 gp)				TYPE:MaterialComponent.Focus		COST:1000	WT:0		SPROP:Focus for Protection from Spells
Forked Metal Rod				TYPE:MaterialComponent.Focus		COST:0	WT:0		SPROP:Focus for Plane Shift
Ivory Statuette of Self (1500 gp)	TYPE:MaterialComponent.Focus		COST:1500	WT:0		SPROP:Focus for Contingency
Ruby and Gold Lens (1500 gp)		TYPE:MaterialComponent.Focus		COST:1500	WT:0		SPROP:Focus for Analyze Dweomer
Marked Bones (25 gp)			TYPE:MaterialComponent.Focus		COST:25	WT:0		SPROP:Focus for Awaken
Platinum Ring (50 gp)			TYPE:MaterialComponent.Focus		COST:50	WT:0		SPROP:Focus for Shield Other
Set of 4 Pieces of Ivory (200 gp)	TYPE:MaterialComponent.Focus		COST:200	WT:0		SPROP:Focus for Legend Lore
Set of Marked Bones (25 gp)		TYPE:MaterialComponent.Focus		COST:25	WT:0		SPROP:Focus for Awaken
Silver Mirror (1000 gp)			TYPE:MaterialComponent.Focus		COST:1000	WT:0		SPROP:Focus for Scrying
Tiny Reliquary (500 gp)			TYPE:MaterialComponent.Focus		COST:500	WT:0		SPROP:Focus for Cloak of Chaos, Holy Aura, Shield of Law, or Unholy Aura
# To Do
# Destuction - Holy/Unholy symbol worth 500 gp
