# CVS $Revision$ $Author$ -- Sat Jan 24 17:11:54 2009 -- reformated by prettylst.pl v1.38 (build 8180)

###:Block: Universal Category
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Special Ability			VISIBLE:NO		EDITABLE:YES									CATEGORY:Special Ability
ABILITYCATEGORY:FEAT																			CATEGORY:FEAT


ABILITYCATEGORY:Deadly Aim Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT				ABILITYLIST:Deadly Aim	DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Subject Specialization		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO						CATEGORY:Special Ability	TYPE:SubjectSpecialization	PLURAL:Subject Specializations	DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Murmillo Sword Focus		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO						CATEGORY:Special Ability	ABILITYLIST:Murmillo Sword Focus			DISPLAYLOCATION:Class Abilities

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Dark-Kin Trait			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability		TYPE:DarkKinTrait			PLURAL:Dark-Kin Traits			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Val Bloodrank				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability		TYPE:ValBloodRank			PLURAL:Val Bloodranks			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Val Bloodline Power			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability		TYPE:ValBloodline			PLURAL:Val Bloodline Powers		DISPLAYLOCATION:Racial Abilities
#ABILITYCATEGORY:Racial Ability			VISIBLE:NO		EDITABLE:NO			EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Racial Ability
ABILITYCATEGORY:Hybrid Dellenov			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:HybridDellenov		PLURAL:Hybrid Dellenov			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Blessings of Flame			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BlessingsofFlame		PLURAL:Blessings of Flame		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Bonus Known Slot			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BonusKnownSpell		PLURAL:Bonus Known Slots		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Flexible Known Slot			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:FlexSpellSlot		PLURAL:Flexible Known Slot		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Spell Studies				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SpellStudiesSlot		PLURAL:Spell Studies			DISPLAYLOCATION:Class Abilities
