# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Deadlands Core Rulebook	SOURCESHORT:Deadlands	SOURCEWEB:http://www.peginc.com/index.htm	SOURCEDATE:2003-01

# Language		Type
Algonquin		TYPE:Spoken
Apache		TYPE:Spoken
Arabic		TYPE:Spoken
Athabaskan		TYPE:Spoken
Bantu			TYPE:Spoken
Caddoan		TYPE:Spoken
Creole		TYPE:Spoken
Chinese		TYPE:Spoken
Danish		TYPE:Spoken
Dutch			TYPE:Spoken
Egyptian		TYPE:Spoken
English		TYPE:Spoken
Finnish		TYPE:Spoken
French		TYPE:Spoken
Gaelic		TYPE:Spoken
German		TYPE:Spoken
Greek			TYPE:Spoken
Haitian		TYPE:Spoken
Hebrew		TYPE:Spoken
Hindi			TYPE:Spoken
Hokan			TYPE:Spoken
Indian Sign		TYPE:Spoken
Italian		TYPE:Spoken
Japanese		TYPE:Spoken
Latin			TYPE:Spoken
Magyar		TYPE:Spoken
Maori			TYPE:Spoken
Norwegian		TYPE:Spoken
Polish		TYPE:Spoken
Portuguese		TYPE:Spoken
Romanian		TYPE:Spoken
Russian		TYPE:Spoken
Siouan		TYPE:Spoken
Spanish		TYPE:Spoken
Swahili		TYPE:Spoken
Swedish		TYPE:Spoken
Welsh			TYPE:Spoken
Zulu			TYPE:Spoken

Hieroglyphics	TYPE:Write
