# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Blood and Blades - The Profilers Guide to Slashers	SOURCESHORT:BloodBlades	SOURCEWEB:http://www.rpgobjects.com/index.php?page=pro&product_id=141	SOURCEDATE:2005-01
#Original entry by: Frank Kliewe

# Feat Name					Type
Acrobatic.MOD				TYPE:Mundane
Advanced Firearms Proficiency.MOD	TYPE:BountyHunterBNB
Alertness.MOD				TYPE:Mundane.ProfilerBNB
Animal Affinity.MOD			TYPE:Mundane
Armor Proficiency (Light).MOD		TYPE:BountyHunterBNB
Armor Proficiency (Medium).MOD	TYPE:BountyHunterBNB
Athletic.MOD				TYPE:Mundane
Attentive.MOD				TYPE:Mundane
Brawl.MOD					TYPE:BountyHunterBNB.Stalker.MentalPatient
Builder.MOD					TYPE:Mundane
Cautious.MOD				TYPE:Mundane
Cleave.MOD					TYPE:Stalker
Combat Expertise.MOD			TYPE:Stalker
Combat Reflexes.MOD			TYPE:Stalker
Confident.MOD				TYPE:Mundane.ProfilerBNB
Creative.MOD				TYPE:Mundane
Deceptive.MOD				TYPE:Mundane.ProfilerBNB.OrganizedKiller
Defensive Martial Arts.MOD		TYPE:BountyHunterBNB
Dodge.MOD					TYPE:BountyHunterBNB.Stalker
Double Tap.MOD				TYPE:BountyHunterBNB
Educated.MOD				TYPE:BountyHunterBNB.Mundane.ProfilerBNB
Elusive Target.MOD			TYPE:Stalker
Endurance.MOD				TYPE:Stalker
Focused.MOD					TYPE:Mundane
Frightful Presence.MOD			TYPE:Stalker
Gearhead.MOD				TYPE:Mundane
Great Cleave.MOD				TYPE:Stalker
Guide.MOD					TYPE:Mundane
Improved Bull Rush.MOD			TYPE:Stalker
Iron Will.MOD				TYPE:ProfilerBNB
Knockout Punch.MOD			TYPE:BountyHunterBNB.Stalker
Low Profile.MOD				TYPE:Mundane.ProfilerBNB
Medical Expert.MOD			TYPE:Mundane
Meticulous.MOD				TYPE:Mundane
Mobility.MOD				TYPE:Stalker
Nimble.MOD					TYPE:Mundane
Personal Firearms Proficiency.MOD	TYPE:BountyHunterBNB.ProfilerBNB
Point Blank Shot.MOD			TYPE:BountyHunterBNB
Power Attack.MOD				TYPE:Stalker
Renown.MOD					TYPE:ProfilerBNB
Run.MOD					TYPE:Stalker
Spring Attack.MOD				TYPE:Stalker
Stealthy.MOD				TYPE:Mundane.DisorganizedKiller.MentalPatient
Streetfighting.MOD			TYPE:Stalker
Studious.MOD				TYPE:Mundane.ProfilerBNB
Sunder.MOD					TYPE:Stalker
Toughness.MOD				TYPE:Stalker
Trustworthy.MOD				TYPE:Mundane.ProfilerBNB
Vehicle Expert.MOD			TYPE:Mundane
Whirlwind Attack.MOD			TYPE:Stalker
