# CVS $Revision$ $Author$ -- Thu Apr  6 15:59:04 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Blood and Space - Prometheus Rising	SOURCESHORT:Prometheus	SOURCEWEB:http://www.rpgobjects.com/index.php?page=pro&product_id=59

###Block: Occupations

# Feat Name					Output Name		Type			Visible	Required Feat			Prohibited Race						Choose a Feat																			Modify VAR							Source Page
Occupation (Asteroid Prospector)	OUTPUTNAME:[NAME]	TYPE:Occupation	VISIBLE:NO						!PRERACE:Android (Laborer),Android (Pilot)	ADD:FEAT(TYPE=Asteroid_Prospector_Skills)2														BONUS:VAR|WealthBonus|2					SOURCEPAGE:p.12
Occupation (Corporate Employee)	OUTPUTNAME:[NAME]	TYPE:Occupation	VISIBLE:NO						!PRERACE:Android (Laborer),Android (Pilot)	ADD:FEAT(TYPE=Corporate_Employee_Skills)															BONUS:VAR|WealthBonus|3					SOURCEPAGE:p.12
Occupation (Gambler)			OUTPUTNAME:[NAME]	TYPE:Occupation	VISIBLE:NO						!PRERACE:Android (Laborer),Android (Pilot)	ADD:FEAT(TYPE=Gambler_Skills)2	ADD:FEAT(Action Boost)												BONUS:VAR|WealthBonus|2					SOURCEPAGE:p.12
Occupation (Hauler)			OUTPUTNAME:[NAME]	TYPE:Occupation	VISIBLE:NO						!PRERACE:Android (Laborer),Android (Pilot)	ADD:FEAT(Salvage,Spacer,Starship Operation(Light))	ADD:FEAT(TYPE=Hauler_Skills)2								BONUS:VAR|WealthBonus|2					SOURCEPAGE:p.12
Occupation (Pirate)			OUTPUTNAME:[NAME]	TYPE:Occupation	VISIBLE:NO						!PRERACE:Android (Laborer),Android (Pilot)	ADD:FEAT(Salvage,Starship Operation(Ultralight),Starship Operation(Light),Zero G Training)	ADD:FEAT(TYPE=Pirate_Skills)	BONUS:VAR|Reputation|1	BONUS:VAR|WealthBonus|2	SOURCEPAGE:p.13
Occupation (Psychic)			OUTPUTNAME:[NAME]	TYPE:Occupation	VISIBLE:NO	PREFEAT:1,TYPE=BasePsionic	!PRERACE:Android (Laborer),Android (Pilot)	ADD:FEAT(TYPE=Psychic_Skills)2	ADD:FEAT(TYPE=EuroPreferredOccupation)									BONUS:VAR|Reputation|1	BONUS:VAR|WealthBonus|3	SOURCEPAGE:p.13

###Block: Occupation benefit MODs

# Feat Name								Type
Bluff(class skill).MOD						TYPE:Corporate_Employee_Skills.Gambler_Skills.Pirate_Skills.Psychic_Skills
Bluff(+1 to skill).MOD						TYPE:Corporate_Employee_Skills.Gambler_Skills.Pirate_Skills.Psychic_Skills
Computer Use(class skill).MOD					TYPE:Asteroid_Prospector_Skills.Corporate_Employee_Skills.Hauler_Skills.Pirate_Skills
Computer Use(+1 to skill).MOD					TYPE:Asteroid_Prospector_Skills.Corporate_Employee_Skills.Hauler_Skills.Pirate_Skills
Concentration(class skill).MOD				TYPE:Psychic_Skills
Concentration(+1 to skill).MOD				TYPE:Psychic_Skills
Craft (Chemical - class skill).MOD				TYPE:Asteroid_Prospector_Skills
Craft (Chemical - +1 to skill).MOD				TYPE:Asteroid_Prospector_Skills
Demolitions(class skill).MOD					TYPE:Asteroid_Prospector_Skills
Demolitions(+1 to skill).MOD					TYPE:Asteroid_Prospector_Skills
Diplomacy(class skill).MOD					TYPE:Corporate_Employee_Skills.Gambler_Skills.Hauler_Skills.Psychic_Skills
Diplomacy(+1 to skill).MOD					TYPE:Corporate_Employee_Skills.Gambler_Skills.Hauler_Skills.Psychic_Skills
Forgery(class skill).MOD					TYPE:Gambler_Skills
Forgery(+1 to skill).MOD					TYPE:Gambler_Skills
Gamble(class skill).MOD						TYPE:Corporate_Employee_Skills.Gambler_Skills
Gamble(+1 to skill).MOD						TYPE:Corporate_Employee_Skills.Gambler_Skills
Gather Information(class skill).MOD				TYPE:Corporate_Employee_Skills
Gather Information(+1 to skill).MOD				TYPE:Corporate_Employee_Skills
Intimidate(class skill).MOD					TYPE:Pirate_Skills.Psychic_Skills
Intimidate(+1 to skill).MOD					TYPE:Pirate_Skills.Psychic_Skills
Knowledge (Behavioral Sciences - class skill).MOD	TYPE:Corporate_Employee_Skills.Psychic_Skills
Knowledge (Behavioral Sciences - +1 to skill).MOD	TYPE:Corporate_Employee_Skills.Psychic_Skills
Knowledge (Business - class skill).MOD			TYPE:Corporate_Employee_Skills.Hauler_Skills
Knowledge (Business - +1 to skill).MOD			TYPE:Corporate_Employee_Skills.Hauler_Skills
Knowledge (Civics - class skill).MOD			TYPE:Corporate_Employee_Skills
Knowledge (Civics - +1 to skill).MOD			TYPE:Corporate_Employee_Skills
