# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Legends of Excalibur - Arthurian Adventures	SOURCESHORT:Excalibur	SOURCEWEB:http://www.rpgobjects.com/index.php?page=ex	SOURCEDATE:2003-01

# Spell Name					Classes of caster
Aid.MOD						CLASSES:Hermit,Priest,White Knight=2
Air Walk.MOD					CLASSES:Blue Knight,Hermit,Minstrel,Priest,White Knight=4
Alarm.MOD						CLASSES:Hedge Mage,Red Knight=1
Alter Self.MOD					CLASSES:Hedge Mage,Red Knight=2
Analyze Dweomer.MOD				CLASSES:Hedge Mage=6
Animal Growth.MOD					CLASSES:Blue Knight,Hedge Mage,Minstrel,Red Knight=5
Animal Messenger.MOD				CLASSES:Blue Knight,Minstrel=2
Animal Shapes.MOD					CLASSES:Minstrel=8
Animal Trance.MOD					CLASSES:Blue Knight,Minstrel=2
Animate Objects.MOD				CLASSES:Hermit,Priest=6
Animate Plants.MOD				CLASSES:Minstrel=7
Antilife Shell.MOD				CLASSES:Hermit,Minstrel,Priest=6
Antimagic Field.MOD				CLASSES:Hedge Mage=6|Hermit,Priest=8
Antipathy.MOD					CLASSES:Hedge Mage=8|Minstrel=9
Antiplant Shell.MOD				CLASSES:Blue Knight,Minstrel=4
Arcane Eye.MOD					CLASSES:Hedge Mage,Red Knight=4
Arcane Lock.MOD					CLASSES:Hedge Mage,Red Knight=2
Arcane Mark.MOD					CLASSES:Hedge Mage,Red Knight=0
Arcane Sight (Greater).MOD			CLASSES:Hedge Mage=7
Arcane Sight.MOD					CLASSES:Hedge Mage,Red Knight=3
Atonement.MOD					CLASSES:Blue Knight,Minstrel=5
Augury.MOD						CLASSES:Hermit,Priest,White Knight=2
Awaken.MOD						CLASSES:Blue Knight,Minstrel=5
Baleful Polymorph.MOD				CLASSES:Blue Knight,Hedge Mage,Minstrel,Red Knight=5
Bane.MOD						CLASSES:Hermit,Priest,White Knight=1
Barkskin.MOD					CLASSES:Blue Knight,Minstrel=2
Bear's Endurance (Mass).MOD			CLASSES:Hedge Mage,Hermit,Minstrel,Priest=6
Bear's Endurance.MOD				CLASSES:Blue Knight,Hedge Mage,Hermit,Minstrel,Priest,Red Knight,White Knight=2
Bestow Curse.MOD					CLASSES:Hermit,Priest,White Knight=3|Hedge Mage,Red Knight=4
Bless Water.MOD					CLASSES:Crusader,Hermit,Priest,White Knight=1
Bless Weapon.MOD					CLASSES:Crusader=1
Bless.MOD						CLASSES:Crusader,Hermit,Priest,White Knight=1
Blight.MOD						CLASSES:Blue Knight,Minstrel=4|Hedge Mage,Red Knight=5
Blindness/Deafness.MOD				CLASSES:Hedge Mage,Hermit,Priest,Red Knight,White Knight=2
Blur.MOD						CLASSES:Hedge Mage,Red Knight=2
Break Enchantment.MOD				CLASSES:Crusader=4|Hedge Mage,Hermit,Priest,Red Knight,White Knight=5
Bull's Strength (Mass).MOD			CLASSES:Hedge Mage,Hermit,Minstrel,Priest=6
Bull's Strength.MOD				CLASSES:Blue Knight,Crusader,Hedge Mage,Hermit,Minstrel,Priest,Red Knight,White Knight=2
Call Lightning.MOD				CLASSES:Blue Knight,Minstrel=3
Call Lightning Storm.MOD			CLASSES:Blue Knight,Minstrel=5
Calm Animals.MOD					CLASSES:Blue Knight,Minstrel=1
Calm Emotions.MOD					CLASSES:Hermit,Priest,White Knight=2
Cat's Grace (Mass).MOD				CLASSES:Hedge Mage,Minstrel=6
Cat's Grace.MOD					CLASSES:Blue Knight,Hedge Mage,Minstrel,Red Knight=2
Cause Fear.MOD					CLASSES:Hedge Mage,Hermit,Priest,Red Knight,White Knight=1
Changestaff.MOD					CLASSES:Minstrel=7
Charm Animal.MOD					CLASSES:Blue Knight,Minstrel=1
Charm Monster (Mass).MOD			CLASSES:Hedge Mage=8
Charm Monster.MOD					CLASSES:Hedge Mage,Red Knight=4
Charm Person.MOD					CLASSES:Hedge Mage,Red Knight=1
Chill Metal.MOD					CLASSES:Blue Knight,Minstrel=2
Clairaudience/Clairvoyance.MOD		CLASSES:Hedge Mage,Red Knight=3
Cloudkill.MOD					CLASSES:Hedge Mage,Red Knight=5
Color Spray.MOD					CLASSES:Hedge Mage,Red Knight=1
Command (Greater).MOD				CLASSES:Hermit,Priest,White Knight=5
Command.MOD						CLASSES:Hermit,Priest,White Knight=1
Command Plants.MOD				CLASSES:Blue Knight,Minstrel=4
Commune.MOD						CLASSES:Hermit,Priest,White Knight=5
Commune with Nature.MOD				CLASSES:Blue Knight,Minstrel=5
Comprehend Languages.MOD			CLASSES:Hedge Mage,Hermit,Priest,Red Knight,White Knight=1
Confusion.MOD					CLASSES:Hedge Mage,Red Knight=4
Consecrate.MOD					CLASSES:Hermit,Priest,White Knight=2
Contagion.MOD					CLASSES:Blue Knight,Hermit,Minstrel,Priest,White Knight=3|Hedge Mage,Red Knight=4
Continual Flame.MOD				CLASSES:Hedge Mage,Red Knight=2|Hermit,Priest,White Knight=3
Control Plants.MOD				CLASSES:Minstrel=8
Control Water.MOD					CLASSES:Blue Knight,Hermit,Minstrel,Priest,White Knight=4|Hedge Mage=6
Control Weather.MOD				CLASSES:Hedge Mage,Hermit,Minstrel,Priest=7
