# CVS $Revision$ $Author$ -- Sat Jan 26 22:10:57 2008 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Sovereign Stone Campaign Sourcebook	SOURCESHORT:SovereignS	SOURCEWEB:http://www.sovstone.com	SOURCEDATE:2002-04

# Language	Type
Dunkrass	TYPE:Spoken
Elder Speak	TYPE:Spoken
Fae		TYPE:Spoken
Fringrese	TYPE:Spoken
Karna		TYPE:Spoken
Naru		TYPE:Spoken
Naru-Toma	TYPE:Spoken
Pharn'lan	TYPE:Spoken
Sanki		TYPE:Spoken
Tirniv	TYPE:Spoken
Tomagai	TYPE:Spoken
Twithil	TYPE:Spoken

# Bahk was added to allow a reference in LANGBONUS
# of the Human (SS) to work. Since I do not have
# the source book, I can't verify if it is a
# real language or a typo.
# --------------------------
# Eric Beaudoin - 2002.11.16

# Language	Type
Bahk		TYPE:Spoken
