# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Martial Arts Mayhem	SOURCESHORT:Mayhem	SOURCEWEB:http://www.thegamemechanics.com	SOURCEDATE:2003-01
#Original Entry by: Frank Kliewe

# Feat Name					Type
Advanced Combat Martial Arts.MOD	TYPE:MilitaryMAPre
Advanced Firearms Proficiency.MOD	TYPE:BallisticFistPre
Agile Riposte.MOD				TYPE:MilitaryMAPre
Alertness.MOD				TYPE:MilitaryMAPre
Brawl.MOD					TYPE:MilitaryMAPre
Burst Fire.MOD				TYPE:BallisticFistPre
Combat Expertise.MOD			TYPE:BallisticFistPre.MilitaryMAPre
Combat Martial Arts.MOD			TYPE:BallisticFistPre.MilitaryMAPre
Combat Throw.MOD				TYPE:MilitaryMAPre
Defensive Martial Arts.MOD		TYPE:MilitaryMAPre
Dodge.MOD					TYPE:BallisticFistPre.MilitaryMAPre
Double Tap.MOD				TYPE:BallisticFistPre
Improved Brawl.MOD			TYPE:MilitaryMAPre
Improved Combat Martial Arts.MOD	TYPE:MilitaryMAPre
Improved Disarm.MOD			TYPE:MilitaryMAPre
Improved Initiative.MOD			TYPE:BallisticFistPre.MilitaryMAPre
Personal Firearms Proficiency.MOD	TYPE:BallisticFistPre
Point Blank Shot.MOD			TYPE:BallisticFistPre
Quick Draw.MOD				TYPE:BallisticFistPre

#making the Bonus to Weapon Focus typed, so it won't stack with Kobujutsu Combinations
# Frank - consider doing this in the Core set.  - Tir Gwaith
###Block: Weapon Focus
# Feat Name		Weapon prof. bonus
Weapon Focus.MOD	BONUS:WEAPONPROF=%LIST|TOHIT|-1	BONUS:WEAPONPROF=%LIST|TOHIT|1|TYPE=WeaponFocus
