# CVS $Revision: $ $Author: $ -- Sat Feb 25 18:45:28 2012 -- reformated by prettylst.pl v1.39 (build )
SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEDATE:2004-02


# This doesn't take into account (Paladin) spells from other sources.  No way to 'Remove spells from a spell list'
# Spell Name				Classes of caster							Description
Bless Water.MOD				CLASSES:Paladin of Freedom=1
Bless Weapon.MOD				CLASSES:Paladin of Freedom=1
Bless.MOD					CLASSES:Paladin of Freedom=1
Create Water.MOD				CLASSES:Paladin of Freedom=1
Cure Light Wounds.MOD			CLASSES:Paladin of Freedom=1
Detect Poison.MOD				CLASSES:Paladin of Freedom=1
Detect Undead.MOD				CLASSES:Paladin of Freedom=1
Divine Favor.MOD				CLASSES:Paladin of Freedom=1
Endure Elements.MOD			CLASSES:Paladin of Freedom=1
Magic Weapon.MOD				CLASSES:Paladin of Freedom=1
Protection from Evil.MOD		CLASSES:Paladin of Freedom=1
Protection from Law.MOD			CLASSES:Paladin of Freedom=1
Read Magic.MOD				CLASSES:Paladin of Freedom=1
Resistance.MOD				CLASSES:Paladin of Freedom=1
Restoration (Lesser).MOD		CLASSES:Paladin of Freedom=1
Virtue.MOD					CLASSES:Paladin of Freedom=1

Bull's Strength.MOD			CLASSES:Paladin of Freedom=2
Delay Poison.MOD				CLASSES:Paladin of Freedom=2
Eagle's Splendor.MOD			CLASSES:Paladin of Freedom=2
Owl's Wisdom.MOD				CLASSES:Paladin of Freedom=2
Remove Paralysis.MOD			CLASSES:Paladin of Freedom=2
Resist Energy.MOD				CLASSES:Paladin of Freedom=2
Shield Other.MOD				CLASSES:Paladin of Freedom=2
Undetectable Alignment.MOD		CLASSES:Paladin of Freedom=2
Zone of Truth.MOD				CLASSES:Paladin of Freedom=2

Cure Moderate Wounds.MOD		CLASSES:Paladin of Freedom=3
Daylight.MOD				CLASSES:Paladin of Freedom=3
Dispel Magic.MOD				CLASSES:Paladin of Freedom=3
Heal Mount.MOD				CLASSES:Paladin of Freedom=3
Magic Circle against Evil.MOD		CLASSES:Paladin of Freedom=3
Magic Circle against Law.MOD		CLASSES:Paladin of Freedom=3
Magic Weapon (Greater).MOD		CLASSES:Paladin of Freedom=3
Prayer.MOD					CLASSES:Paladin of Freedom=3
Remove Blindness/Deafness.MOD		CLASSES:Paladin of Freedom=3
Remove Curse.MOD				CLASSES:Paladin of Freedom=3

Break Enchantment.MOD			CLASSES:Paladin of Freedom=4
Cure Serious Wounds.MOD			CLASSES:Paladin of Freedom=4
Dispel Evil.MOD				CLASSES:Paladin of Freedom=4
Dispel Law.MOD				CLASSES:Paladin of Freedom=4
Freedom of Movement.MOD			CLASSES:Paladin of Freedom=4
Holy Sword.MOD				CLASSES:Paladin of Freedom=4
Mark of Justice.MOD			CLASSES:Paladin of Freedom=4
Neutralize Poison.MOD			CLASSES:Paladin of Freedom=4
Restoration.MOD				CLASSES:Paladin of Freedom=4

Bane.MOD					CLASSES:Paladin of Slaughter=1
Cause Fear.MOD				CLASSES:Paladin of Slaughter=1
Corrupt Weapon.MOD			CLASSES:Paladin of Slaughter=1
Create Water.MOD				CLASSES:Paladin of Slaughter=1
Curse Water.MOD				CLASSES:Paladin of Slaughter=1
Detect Poison.MOD				CLASSES:Paladin of Slaughter=1
Detect Undead.MOD				CLASSES:Paladin of Slaughter=1
Divine Favor.MOD				CLASSES:Paladin of Slaughter=1
Endure Elements.MOD			CLASSES:Paladin of Slaughter=1
Inflict Light Wounds.MOD		CLASSES:Paladin of Slaughter=1
Magic Weapon.MOD				CLASSES:Paladin of Slaughter=1
Protection from Good.MOD		CLASSES:Paladin of Slaughter=1
Protection from Law.MOD			CLASSES:Paladin of Slaughter=1
Read Magic.MOD				CLASSES:Paladin of Slaughter=1
Resistance.MOD				CLASSES:Paladin of Slaughter=1
Virtue.MOD					CLASSES:Paladin of Slaughter=1

Bull's Strength.MOD			CLASSES:Paladin of Slaughter=2
Cure Light Wounds.MOD			CLASSES:Paladin of Slaughter=2
Darkness.MOD				CLASSES:Paladin of Slaughter=2
Delay Poison.MOD				CLASSES:Paladin of Slaughter=2
Eagle's Splendor.MOD			CLASSES:Paladin of Slaughter=2
Inflict Moderate Wounds.MOD		CLASSES:Paladin of Slaughter=2
Owl's Wisdom.MOD				CLASSES:Paladin of Slaughter=2
Resist Energy.MOD				CLASSES:Paladin of Slaughter=2
Undetectable Alignment.MOD		CLASSES:Paladin of Slaughter=2

Blindness/Deafness.MOD			CLASSES:Paladin of Slaughter=3
Cure Moderate Wounds.MOD		CLASSES:Paladin of Slaughter=3
Deeper Darkness.MOD			CLASSES:Paladin of Slaughter=3
Dispel Magic.MOD				CLASSES:Paladin of Slaughter=3
Magic Weapon (Greater).MOD		CLASSES:Paladin of Slaughter=3
Heal Mount.MOD				CLASSES:Paladin of Slaughter=3
Prayer.MOD					CLASSES:Paladin of Slaughter=3
Inflict Serious Wounds.MOD		CLASSES:Paladin of Slaughter=3
Magic Circle against Good.MOD		CLASSES:Paladin of Slaughter=3
Magic Circle against Law.MOD		CLASSES:Paladin of Slaughter=3

Break Enchantment.MOD			CLASSES:Paladin of Slaughter=4
Cure Serious Wounds.MOD			CLASSES:Paladin of Slaughter=4
Dispel Good.MOD				CLASSES:Paladin of Slaughter=4
Dispel Law.MOD				CLASSES:Paladin of Slaughter=4
Inflict Critical Wounds.MOD		CLASSES:Paladin of Slaughter=4
Poison.MOD					CLASSES:Paladin of Slaughter=4

Bane.MOD					CLASSES:Paladin of Tyranny=1
Corrupt Weapon.MOD			CLASSES:Paladin of Tyranny=1
Create Water.MOD				CLASSES:Paladin of Tyranny=1
Curse Water.MOD				CLASSES:Paladin of Tyranny=1
Detect Poison.MOD				CLASSES:Paladin of Tyranny=1
Detect Undead.MOD				CLASSES:Paladin of Tyranny=1
Divine Favor.MOD				CLASSES:Paladin of Tyranny=1
Doom.MOD					CLASSES:Paladin of Tyranny=1
Endure Elements.MOD			CLASSES:Paladin of Tyranny=1
Inflict Light Wounds.MOD		CLASSES:Paladin of Tyranny=1
Magic Weapon.MOD				CLASSES:Paladin of Tyranny=1
Protection from Good.MOD		CLASSES:Paladin of Tyranny=1
Protection from Chaos.MOD		CLASSES:Paladin of Tyranny=1
Read Magic.MOD				CLASSES:Paladin of Tyranny=1
Resistance.MOD				CLASSES:Paladin of Tyranny=1
Virtue.MOD					CLASSES:Paladin of Tyranny=1

Bull's Strength.MOD			CLASSES:Paladin of Tyranny=2
Cure Light Wounds.MOD			CLASSES:Paladin of Tyranny=2
Darkness.MOD				CLASSES:Paladin of Tyranny=2
Delay Poison.MOD				CLASSES:Paladin of Tyranny=2
Eagle's Splendor.MOD			CLASSES:Paladin of Tyranny=2
Hold Person.MOD				CLASSES:Paladin of Tyranny=2
Inflict Moderate Wounds.MOD		CLASSES:Paladin of Tyranny=2
Owl's Wisdom.MOD				CLASSES:Paladin of Tyranny=2
Resist Energy.MOD				CLASSES:Paladin of Tyranny=2
Undetectable Alignment.MOD		CLASSES:Paladin of Tyranny=2

Bestow Curse.MOD				CLASSES:Paladin of Tyranny=3
Cure Moderate Wounds.MOD		CLASSES:Paladin of Tyranny=3
Deeper Darkness.MOD			CLASSES:Paladin of Tyranny=3
Discern Lies.MOD				CLASSES:Paladin of Tyranny=3
Dispel Magic.MOD				CLASSES:Paladin of Tyranny=3
Magic Weapon (Greater).MOD		CLASSES:Paladin of Tyranny=3
Heal Mount.MOD				CLASSES:Paladin of Tyranny=3
Prayer.MOD					CLASSES:Paladin of Tyranny=3
Inflict Serious Wounds.MOD		CLASSES:Paladin of Tyranny=3
Magic Circle against Good.MOD		CLASSES:Paladin of Tyranny=3
Magic Circle against Chaos.MOD	CLASSES:Paladin of Tyranny=3

Break Enchantment.MOD			CLASSES:Paladin of Tyranny=4
Cure Serious Wounds.MOD			CLASSES:Paladin of Tyranny=4
Dispel Good.MOD				CLASSES:Paladin of Tyranny=4
Dispel Chaos.MOD				CLASSES:Paladin of Tyranny=4
Dominate Person.MOD			CLASSES:Paladin of Tyranny=4
Inflict Critical Wounds.MOD		CLASSES:Paladin of Tyranny=4

Unholy Sword				CLASSES:Paladin of Slaughter,Paladin of Tyranny=4	DESC:There is no official spell of this name.
