# CVS $Revision$ $Author$ -- Mon Feb  2 12:28:16 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Alderac Entertainment Group - Dragons	SOURCESHORT:Dragons	SOURCEWEB:http://alderac.com/d20

###Block: Air Lord
# Ability Name		Category of Ability		Special ABility
Improved Aerial Rider	CATEGORY:Special Ability	SAB:Improved Aerial Rider
Aerial mount		CATEGORY:Special Ability	SAB:Aerial mount
Swoop attack		CATEGORY:Special Ability	SAB:Swoop attack
Feather fall		CATEGORY:Special Ability	SAB:Feather fall
Aerial Awarness		CATEGORY:Special Ability	SAB:Aerial Awarness
Summon Air Elemental	CATEGORY:Special Ability	SAB:Summon Air Elemental
Improved Mount		CATEGORY:Special Ability	SAB:Improved Mount

###Block: Dragon Slayer
# Ability Name			Category of Ability		Special ABility																		Define
Improved Power Attack		CATEGORY:Special Ability	SAB:Improved Power Attack
Latch Attack			CATEGORY:Special Ability	SAB:Latch Attack
Fearless (+4 saves)		CATEGORY:Special Ability	SAB:Fearless (+4 saves)|PREVAREQ:DragonSlayerFearlessLVL,1	SAB:Fearless (Immune)|PREVAREQ:DragonSlayerFearlessLVL,2	DEFINE:DragonSlayerFearlessLVL|0
Penetrating Blow			CATEGORY:Special Ability	SAB:Penetrating Blow
Improved Critical vs. dragons	CATEGORY:Special Ability	SAB:Improved Critical vs. dragons
Aura of Invincibility		CATEGORY:Special Ability	SAB:Aura of Invincibility
Relentless Attack			CATEGORY:Special Ability	SAB:Relentless Attack
Spot Vulnerability		CATEGORY:Special Ability	SAB:Spot Vulnerability
Improved Penetrating Blow	CATEGORY:Special Ability	SAB:Improved Penetrating Blow


###Block: Student of the Dragon
# Ability Name		Category of Ability		Special ABility
Wings of the Dragon	CATEGORY:Special Ability	SAB:Wings of the Dragon
Strength of the Dragon	CATEGORY:Special Ability	SAB:Strength of the Dragon
Eyes of the Dragon	CATEGORY:Special Ability	SAB:Eyes of the Dragon
Fist of the Dragon	CATEGORY:Special Ability	SAB:Fist of the Dragon
Ki Strike (+2)		CATEGORY:Special Ability	SAB:Ki Strike (+2)|PREVARLT:CL,8
Tactics of the Dragon	CATEGORY:Special Ability	SAB:Tactics of the Dragon
Roar of the Dragon	CATEGORY:Special Ability	SAB:Roar of the Dragon
Fury of the Dragon	CATEGORY:Special Ability	SAB:Fury of the Dragon
Ki Strike (+3)		CATEGORY:Special Ability	SAB:Ki Strike (+3)
Thunder of the Dragon	CATEGORY:Special Ability	SAB:Thunder of the Dragon
Master of the Dragon	CATEGORY:Special Ability	SAB:Master of the Dragon

###Block: Wyrmfoe
# Ability Name		Category of Ability		Special ABility
Dragon Magic I		CATEGORY:Special Ability	SAB:Dragon Magic I
Dragon Claws		CATEGORY:Special Ability	SAB:Dragon Claws
Damage Resistance I	CATEGORY:Special Ability	SAB:Damage Resistance I
Dragon Magic II		CATEGORY:Special Ability	SAB:Dragon Magic II
Dragon Creature Type	CATEGORY:Special Ability	SAB:Dragon Creature Type
Damage Resistance II	CATEGORY:Special Ability	SAB:Damage Resistance II
Dragon Magic III		CATEGORY:Special Ability	SAB:Dragon Magic III
Damage Resistance III	CATEGORY:Special Ability	SAB:Damage Resistance III
Dragon Breath		CATEGORY:Special Ability	SAB:Dragon Breath
Dragon Magic IV		CATEGORY:Special Ability	SAB:Dragon Magic IV


###Block: Wyrm Spawn
# Ability Name		Category of Ability		Special ABility
Draconic Blood		CATEGORY:Special Ability	SAB:Draconic Blood
Resist Elements		CATEGORY:Special Ability	SAB:Resist Elements
Immune to dragon fear	CATEGORY:Special Ability	SAB:Immune to dragon fear
Innate Magic		CATEGORY:Special Ability	SAB:Innate Magic
Draconic Hide +4		CATEGORY:Special Ability	SAB:Draconic Hide +4
Longevity			CATEGORY:Special Ability	SAB:Longevity
