# CVS $Revision$ $Author$ -- Tue Jan 20 22:03:13 2009 -- reformated by prettylst.pl v1.38 (build 8180)
#SOURCELONG:Sidewinder: Recoiled	SOURCESHORT:S:R	SOURCEWEB:http://www.doghouserules.net/recoiled/index.html

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI			Display Location
ABILITYCATEGORY:Artisan Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Artisan_Skills	PLURAL:Artisan Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Artist Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Artist_Skills	PLURAL:Artist Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Clergy Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Clergy_Skills	PLURAL:Clergy Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Engineer Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Engineer_Skills	PLURAL:Engineer Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Entertainer Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Entertainer_Skills	PLURAL:Entertainer Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Greenhorn Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Greenhorn_Skills	PLURAL:Greenhorn Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Hunter Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Hunter_Skills	PLURAL:Hunter Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Idle Rich Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Idle_Rich_Skills	PLURAL:Idle Rich Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Laborer Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Laborer_Skills	PLURAL:Laborer Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Mariner Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Mariner_Skills	PLURAL:Mariner Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Merchant Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Merchant_Skills	PLURAL:Merchant Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Outlaw Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Outlaw_Skills	PLURAL:Outlaw Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Politician Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Politician_Skills	PLURAL:Politician Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Prospector Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Prospector_Skills	PLURAL:Prospector Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Ranch Hand Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Ranch_Hand_Skills	PLURAL:Ranch Hand Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Sodbuster Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Sodbuster_Skills	PLURAL:Sodbuster Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Tribal Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Tribal_Skills	PLURAL:Tribal Occupation Skills		DISPLAYLOCATION:Background

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI			Display Location
ABILITYCATEGORY:Artisan Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Artisan		PLURAL:Artisan Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Hunter Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Hunter			PLURAL:Hunter Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Mariner Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Mariner		PLURAL:Mariner Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Outlaw Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Outlaw			PLURAL:Outlaw Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Politician Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Politician		PLURAL:Politician Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Prospector Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Prospector		PLURAL:Prospector Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Ranch Hand Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:RanchHand		PLURAL:Ranch Hand Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Sodbuster Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Sodbuster		PLURAL:Sodbuster Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Tribal Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Tribal			PLURAL:Tribal Feats				DISPLAYLOCATION:Feats

###Block: Maverick Talent
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object													Plural description for UI	Display Location
ABILITYCATEGORY:Maverick Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:StrongTalent.FastTalent.ToughTalent.SmartTalent.DedicatedTalent.CharismaticTalent	PLURAL:Maverick Talents		DISPLAYLOCATION:Class Abilities

#
## EOF
#
