# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Sidewinder: Recoiled	SOURCESHORT:S:R	SOURCEWEB:http://www.doghouserules.net/recoiled/index.html
# Original Entry by: Lone Jedi (MSRD by Paul King & Tir Gwaith)

###Block: Sidewinder Skills

# Skill Name				Key Stat	Untrained?		Type					Visible		Source Page
Operate Vehicle (Aircraft)		KEYSTAT:DEX	USEUNTRAINED:NO	TYPE:Dexterity.OperateVehicle				SOURCEPAGE:p. 87
Operate Vehicle (Ground Vehicles)	KEYSTAT:DEX	USEUNTRAINED:NO	TYPE:Dexterity.OperateVehicle				SOURCEPAGE:p. 87
Operate Vehicle (Watercraft)		KEYSTAT:DEX	USEUNTRAINED:NO	TYPE:Dexterity.OperateVehicle				SOURCEPAGE:p. 87

Craft (Electric)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft					SOURCEPAGE:p. 69
Craft (Untrained)				KEYSTAT:INT	USEUNTRAINED:YES	TYPE:Intelligence.Craft		VISIBLE:EXPORT	SOURCEPAGE:p. 71
Perform (Untrained)			KEYSTAT:CHA	USEUNTRAINED:YES	TYPE:Charisma.Perform		VISIBLE:EXPORT	SOURCEPAGE:p. 88




###Block: MSRD Skills

# Skill Name					Source Page
Balance.MOD						SOURCEPAGE:p. 62
Bluff.MOD						SOURCEPAGE:p. 63
Climb.MOD						SOURCEPAGE:p. 64
Concentration.MOD					SOURCEPAGE:p. 65
Craft (Chemical).MOD				SOURCEPAGE:p. 67
Craft (Mechanical).MOD				SOURCEPAGE:p. 69
Craft (Pharmaceutical).MOD			SOURCEPAGE:p. 69
Craft (Structural).MOD				SOURCEPAGE:p. 70
Craft (Visual Art).MOD				SOURCEPAGE:p. 70
Craft (Writing).MOD				SOURCEPAGE:p. 71
Decipher Script.MOD				SOURCEPAGE:p. 71
Demolitions.MOD					SOURCEPAGE:p. 71
Diplomacy.MOD					SOURCEPAGE:p. 72
Disable Device.MOD				SOURCEPAGE:p. 73
Disguise.MOD					SOURCEPAGE:p. 74
Escape Artist.MOD					SOURCEPAGE:p. 75
Forgery.MOD						SOURCEPAGE:p. 75
Gamble.MOD						SOURCEPAGE:p. 76
Gather Information.MOD				SOURCEPAGE:p. 77
Handle Animal.MOD					SOURCEPAGE:p. 78
Hide.MOD						SOURCEPAGE:p. 81
Intimidate.MOD					SOURCEPAGE:p. 81
Investigate.MOD					SOURCEPAGE:p. 82
Jump.MOD						SOURCEPAGE:p. 83
Knowledge (Arcane Lore).MOD			SOURCEPAGE:p. 84
Knowledge (Art).MOD				SOURCEPAGE:p. 84
Knowledge (Behavioral Sciences).MOD		SOURCEPAGE:p. 84
Knowledge (Business).MOD			SOURCEPAGE:p. 84
Knowledge (Civics).MOD				SOURCEPAGE:p. 84
Knowledge (Current Events).MOD		SOURCEPAGE:p. 84
Knowledge (Earth and Life Sciences).MOD	SOURCEPAGE:p. 84
Knowledge (History).MOD				SOURCEPAGE:p. 84
Knowledge (Physical Sciences).MOD		SOURCEPAGE:p. 84
Knowledge (Popular Culture).MOD		SOURCEPAGE:p. 84
Knowledge (Streetwise).MOD			SOURCEPAGE:p. 84
Knowledge (Tactics).MOD				SOURCEPAGE:p. 84
Knowledge (Technology).MOD			SOURCEPAGE:p. 84
Knowledge (Theology and Philosophy).MOD	SOURCEPAGE:p. 84
Listen.MOD						SOURCEPAGE:p. 85
Move Silently.MOD					SOURCEPAGE:p. 86
Navigate.MOD					SOURCEPAGE:p. 86
Perform (Act).MOD					SOURCEPAGE:p. 88
Perform (Dance).MOD				SOURCEPAGE:p. 88
Perform (Keyboards).MOD				SOURCEPAGE:p. 88
Perform (Percussion Instruments).MOD	SOURCEPAGE:p. 88
Perform (Sing).MOD				SOURCEPAGE:p. 88
Perform (Stand-Up).MOD				SOURCEPAGE:p. 88
Perform (Stringed Instruments).MOD		SOURCEPAGE:p. 88
Perform (Wind Instruments).MOD		SOURCEPAGE:p. 88
Profession.MOD					SOURCEPAGE:p. 88
Read/Write Language.MOD				SOURCEPAGE:p. 90
Repair.MOD						SOURCEPAGE:p. 91
Research.MOD					SOURCEPAGE:p. 91
Ride.MOD						SOURCEPAGE:p. 92
Search.MOD						SOURCEPAGE:p. 93
Sense Motive.MOD					SOURCEPAGE:p. 93
Sleight of Hand.MOD				SOURCEPAGE:p. 94
Speak Language.MOD				SOURCEPAGE:p. 95
Spot.MOD						SOURCEPAGE:p. 95
Survival.MOD					SOURCEPAGE:p. 95
Swim.MOD						SOURCEPAGE:p. 96
Treat Injury.MOD					SOURCEPAGE:p. 97
Tumble.MOD						SOURCEPAGE:p. 98

# Deleted Skills

Computer Use.FORGET
Control Shape.FORGET
Craft (Electronic).FORGET
Drive.FORGET
Pilot.FORGET















#
# End
#
