# CVS $Revision$ $Author$ -- Fri Nov 23 00:38:25 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:Bastion Press - Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://www.bastionpress.com

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template				Description		Stackable?	Multiple?	Cost		Source Page		SAB
Clear Skies			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Capable spellcasting (electricity)	SAB:Crude spellcasting (acid)
The Cyclone			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Attack rolls 3x/day
The Hurricane		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Damage rolls 3x/day
The Typhoon			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to AC rolls 3x/day	SAB:-1 to AC rolls 3x/day
The Winds			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Air		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws

#Aspect of the Animal
The Bird			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws
The Insect			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day
The Mammal			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day
The Reptile			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to AC 3x/day	SAB:-1 to Atteck rolls 3x/day
The Rodent			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Animal	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws

#Aspect of the Autumn
Autumnal Splendor		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws
Falling Leaves		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Effective spellcasting (sonic)	SAB:-1 to Ineffective spellcasting (force)
Darkening Skies		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Capable spellcasting (acid)	SAB:-1 to Crude spellcasting (electricity)
The Harvest			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day
Renewal			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Autumn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day

#Aspect of the Darkness
The Moon			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Practiced spell (chaos)	SAB:Amateur spell (law)
The Night			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Effective spellcasting (cold)	SAB:Ineffective spellcasting (fire)
The Shadows			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day
The Stars			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)
The Void			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Darkness	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day

#Aspect of the Dawn
The Brilliant Sky		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws
The Emerging Rays		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day
Resplendent Beams		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day
