# CVS $Revision$ $Author$ -- Tue Nov 11 14:22:49 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Fantasy Flight Games - School of Evocation	SOURCESHORT:Evoc	SOURCEWEB:http://www.fantasyflightgames.com/dd41.html	SOURCEDATE:2003-08
# Original entry by: Ratheof Blithwyn

###Block: Proficiencies
# Feat Name					Type			Visible	Automatically Gained Weapon Prof.
Devoted Evoker Weapon Proficiencies	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Club|Dagger|Crossbow (Heavy)|Crossbow (Light)|Quarterstaff
Order of Akmon Weapon Proficiencies	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Hammer (Light)|Warhammer

###Block: Discipline mastery for the Devoted Evoker
# Feat Name					Type				Visible	Special ABility
EvocationMasteryAcid			TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Acid
EvocationMasteryCold			TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Cold
EvocationMasteryEnergyConstruct	TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Energy Construct
EvocationMasteryElectricity		TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Electricity
EvocationMasteryFire			TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Fire
EvocationMasteryForce			TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Force
EvocationMasteryLight			TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Light
EvocationMasterySound			TYPE:EvocationMastery	VISIBLE:NO	SAB:Discipline Mastery Sound

# Hidden feat: Evocation Library
#Library Acid			TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Acid)
#Library Cold			TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Cold)
#Library Energy Construct	TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Energy Construct)
#Library Electricity		TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Electricity)
#Library Fire			TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Fire)
#Library Force			TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Force)
#Library Light			TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Light)
#Library Sound			TYPE:EvocationLibrary	VISIBLE:NO	SAB:Evocation Library (Sound)
