# CVS $Revision$ $Author$ -- Tue Aug 21 21:00:33 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:Fantasy Flight Games - Sorcery and Steam	SOURCESHORT:SAS	SOURCEWEB:http://www.fantasyflightgames.com/dd40.html
# Original Entry by: Eddy Anthony

# Firarms

# Small---------------------------------------------------------------------------------
# Equipment Name					Required Proficiency			Type														Contains					Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage	Range		Size		Source Page
Matchlock Pistol (Light)			PROFICIENCY:Matchlock Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:80	WT:4		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:50	SIZE:S	SOURCEPAGE:p.150
Matchlock Pistol (Heavy)			PROFICIENCY:Matchlock Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:120	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d6	RANGE:50	SIZE:S	SOURCEPAGE:p.150
Flintlock Pistol (Light)			PROFICIENCY:Flintlock Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:90	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:60	SIZE:S	SOURCEPAGE:p.150
Percussion Cap Pistol (Holdout)		PROFICIENCY:Percussion Cap Pistol	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:90	WT:3		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d8	RANGE:20	SIZE:S	SOURCEPAGE:p.150
Percussion Cap Pistol (Light)			PROFICIENCY:Percussion Cap Pistol	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:120	WT:4		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:50	SIZE:S	SOURCEPAGE:p.150

# Medium--------------------------------------------------------------------------------
Flintlock Pistol (Heavy)			PROFICIENCY:Flintlock Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:130	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d6	RANGE:60	SIZE:M	SOURCEPAGE:p.150
Flintlock Pistol (Double-Barrel)		PROFICIENCY:Flintlock Pistol		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=2|Shot=2	COST:200	WT:8		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:60	SIZE:M	SOURCEPAGE:p.150
Percussion Cap Pistol (Medium)		PROFICIENCY:Percussion Cap Pistol	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:180	WT:5		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d6	RANGE:60	SIZE:M	SOURCEPAGE:p.150
Percussion Cap Pistol (Heavy)			PROFICIENCY:Percussion Cap Pistol	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:220	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d8	RANGE:60	SIZE:M	SOURCEPAGE:p.150
Percussion Cap Pistol (Double-Barrel)	PROFICIENCY:Percussion Cap Pistol	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=2|Shot=2	COST:250	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:50	SIZE:M	SOURCEPAGE:p.150
