# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Midnight Campaign Source Book	SOURCESHORT:MDNT	SOURCEWEB:http://www.fantasyflightgames.com/midnight.html	SOURCEDATE:2002-01
#Original Entry By: Beaver and Tir Gwaith

# Skill Name				Key Stat	Untrained?		Exclusive?		Type						Source Page
Knowledge (Aruun)				KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.23
Knowledge (Caraheen)			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.21
Knowledge (Central Erenland)		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.25
Knowledge (Eren River Valley)		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.24
Knowledge (Kaladrun Mountains)	KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.19
Knowledge (Miraleen)			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.22
Knowledge (Northern Marches)		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.30
Knowledge (Northlands)			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.27
Knowledge (Southern Erenland)		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.28
Knowledge (Veradeen)			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:NO	TYPE:Intelligence.Knowledge.Local	SOURCEPAGE:p.20
