# CVS $Revision$ $Author$ -- Sat Nov  1 17:00:18 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Mongoose Publishing - Quintessential Ranger	SOURCESHORT:QR	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2003-01
#Original Entry by: Andrew Maitland


###Block:Wild Hunter Wild Pack
# Class of the Master	Type			Hit Dice	Special ABility											Define			Combat bonus						Stat bonus			Modify VAR			Main Race Type
FOLLOWER:WildPackLvl=1	TYPE:Wild Pack	HD:2		SAB:Link (Ex)	SAB:Animal Hunting (Ex)	SAB:Bonus Tricks +%|BonusTricks	DEFINE:BonusTricks|0	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR,DEX|1	BONUS:VAR|BonusTricks|1	RACETYPE:Magical Beast
FOLLOWER:WildPackLvl=3	TYPE:Wild Pack	HD:1		SAB:Improved Scent (Ex)														BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE
FOLLOWER:WildPackLvl=5	TYPE:Wild Pack			SAB:Evasion (Ex)																							BONUS:STAT|STR,DEX|1	BONUS:VAR|BonusTricks|1
FOLLOWER:WildPackLvl=7	TYPE:Wild Pack	HD:1		SAB:Harry Prey (Ex)														BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE
FOLLOWER:WildPackLvl=9	TYPE:Wild Pack			SAB:Devotion (Ex)																							BONUS:STAT|STR,DEX|1	BONUS:VAR|BonusTricks|1

###Block:Specific Animal Companions
# Class of the Master	Type			Required Race		Apply Kit
FOLLOWER:WildPackLvl=1	TYPE:Wild Pack	PRERACE:1,Dog (Riding)	KIT:1|Dog (Riding) Companion

###Block:Animal Champion Companion
# Class of the Master	Type						Hit Dice	Virtual Feat				Special ABility					Define			Combat bonus						Stat bonus
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion									SAB:Link (Ex)	SAB:Share Spells (Ex)
FOLLOWER:AnimalCompanionLVL=3	TYPE:Animal Champion Companion	HD:2								SAB:Evasion (Ex)					DEFINE:EvasionUsable|0	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR|1	BONUS:STAT|DEX|1
FOLLOWER:AnimalCompanionLVL=6	TYPE:Animal Champion Companion	HD:2								SAB:Devotion (Ex)									BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR|1	BONUS:STAT|DEX|1
FOLLOWER:AnimalCompanionLVL=9	TYPE:Animal Champion Companion	HD:2		VFEAT:Multiattack|PREHANDSGTEQ:3	SAB:Multiattack (Ex)								BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR|1	BONUS:STAT|DEX|1
FOLLOWER:AnimalCompanionLVL=12	TYPE:Animal Champion Companion	HD:2																			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR|1	BONUS:STAT|DEX|1
FOLLOWER:AnimalCompanionLVL=15	TYPE:Animal Champion Companion	HD:2								SAB:Improved Evasion (Ex)							BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR|1	BONUS:STAT|DEX|1
FOLLOWER:AnimalCompanionLVL=18	TYPE:Animal Champion Companion	HD:2																			BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:STAT|STR|1	BONUS:STAT|DEX|1

###Block: Kit Application
# Class of the Master	Type						Required Race					Apply Kit
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Ape					KIT:1|Ape Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Badger					KIT:1|Badger Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Bear (Black)				KIT:1|Bear (Black) Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Bear (Brown)				KIT:1|Bear (Brown) Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Bear (Polar)				KIT:1|Bear (Polar) Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Bison					KIT:1|Bison Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Boar					KIT:1|Boar Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Camel					KIT:1|Camel Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Cheetah					KIT:1|Cheetah Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Crocodile				KIT:1|Crocodile Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Crocodile (Giant)			KIT:1|Crocodile (Giant) Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Dinosaur (Deinonychus)		KIT:1|Dinosaur (Deinonychus) Companion
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Champion Companion	PRERACE:1,Dinosaur (Megaraptor)		KIT:1|Dinosaur (Megaraptor) Companion
