# CVS $Revision$ $Author$ -- Fri Jan 26 14:15:26 2007 -- reformated by prettylst.pl v1.36 (build 2045)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Necromancy	SOURCESHORT:Necromancy	SOURCEWEB:http://www.mongoosepublishing.com
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name			Classes of caster			School		Type		Components		Casting Time		Range			Item		Target Area or Effect							Duration						Save Info					Spell Resistance		Description		Source Page
Animate Animal			CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 animal corpse touched					DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.19
Animate Skeleton			CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.20
Animate Zombie			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.20
Annihilation			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:30' Radius							DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.21
Bleeding Wound			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:2 rounds/lvl				SAVEINFO:None				SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.21
Bones of Steel			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 or more Skeletons touched				DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.21
Chill Blood				CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 creature							DURATION:Instantaneous				SAVEINFO:Reflex Partial			SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.22
Death's Shadow			CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Instantaneous				SAVEINFO:Fortitude Negates		SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.22
Detect Dead				CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:60 feet	ITEM:Potion	TARGETAREA:Quarter circle emanating from caster			DURATION:Concentration/1 minute/lvl (D)	SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.23
Flesh Made Foul			CLASSES:Sorcerer,Wizard=8	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:Creature touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.23
