# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Modern System Reference Document	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

#Abyssal, Auran, Draconic, Giant, Gnoll, Goblin and Terran moved to moderncreatures_languages.lst

# Language			Type			Source Page
Aquan				TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Aquan				TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Celestial			TYPE:Spoken		SOURCEPAGE:ArcanaShadowkind.rtf
Celestial			TYPE:Written	SOURCEPAGE:ArcanaShadowkind.rtf
Common			TYPE:Spoken		SOURCEPAGE:ArcanaShadowkind.rtf
Common			TYPE:Written	SOURCEPAGE:ArcanaShadowkind.rtf
Drow Sign Language	TYPE:Written	SOURCEPAGE:ArcanaShadowkind.rtf
Dwarven			TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Dwarven			TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Elven				TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Elven				TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Gnome				TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Gnome				TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Halfling			TYPE:Spoken		SOURCEPAGE:ArcanaShadowkind.rtf
Halfling			TYPE:Written	SOURCEPAGE:ArcanaShadowkind.rtf
Ingan				TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Ingan				TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Infernal			TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Infernal			TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Kuo toan			TYPE:Spoken		SOURCEPAGE:ArcanaShadowkind.rtf
Kuo toan			TYPE:Written	SOURCEPAGE:ArcanaShadowkind.rtf
Orc				TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Orc				TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Skunk Ape			TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Sylvan			TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Sylvan			TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Undertongue			TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Undertongue			TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf

#
# End
#
