# CVS $Revision$ $Author$ -- Tue Nov 25 12:07:19 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Modern System Reference Document - Creatures	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

# Language	Type			Source Page
Abyssal	TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Abyssal	TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Auran		TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Auran		TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Draconic	TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Draconic	TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Giant		TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Giant		TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Gnoll		TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Gnoll		TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Goblin	TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Goblin	TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf
Terran	TYPE:Spoken		SOURCEPAGE:ArcanaCreatures.rtf
Terran	TYPE:Written	SOURCEPAGE:ArcanaCreatures.rtf

#
# End
#
