# CVS $Revision: 766 $ $Author: frank_kliewe $ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Modern System Reference Document	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

### Charismatic Hero talents
# Feat Name				Type
Captivate.MOD			CATEGORY:Talent	TYPE:CharismaticPlus
Dazzle.MOD				CATEGORY:Talent	TYPE:CharismaticPlus
Favor.MOD				CATEGORY:Talent	TYPE:CharismaticPlus
Greater Inspiration.MOD		CATEGORY:Talent	TYPE:CharismaticPlus
Inspiration.MOD			CATEGORY:Talent	TYPE:CharismaticPlus
Taunt.MOD				CATEGORY:Talent	TYPE:CharismaticPlus

### Dedicated Hero talents
Aware.MOD				CATEGORY:Talent	TYPE:DedicatedPlus
Cool Under Pressure.MOD		CATEGORY:Talent	TYPE:DedicatedPlus
Faith.MOD				CATEGORY:Talent	TYPE:DedicatedPlus
Healing Touch I.MOD		CATEGORY:Talent	TYPE:DedicatedPlus
Healing Touch II.MOD		CATEGORY:Talent	TYPE:DedicatedPlus
Improved Aid Another.MOD	CATEGORY:Talent	TYPE:DedicatedPlus
Intuition.MOD			CATEGORY:Talent	TYPE:DedicatedPlus

### Fast Hero talents
Advanced Increased Speed.MOD	CATEGORY:Talent	TYPE:FastPlus
Defensive Roll.MOD		CATEGORY:Talent	TYPE:FastPlus
Improved Increased Speed.MOD	CATEGORY:Talent	TYPE:FastPlus
Opportunist.MOD			CATEGORY:Talent	TYPE:FastPlus
Uncanny Dodge I.MOD		CATEGORY:Talent	TYPE:FastPlus
Uncanny Dodge II.MOD		CATEGORY:Talent	TYPE:FastPlus

### Smart Hero talents
Exploit Weakness.MOD		CATEGORY:Talent	TYPE:SmartPlus
Linguist.MOD			CATEGORY:Talent	TYPE:SmartPlus
Plan.MOD				CATEGORY:Talent	TYPE:SmartPlus
Savant.MOD				CATEGORY:Talent	TYPE:SmartPlus
Trick.MOD				CATEGORY:Talent	TYPE:SmartPlus

### Strong Hero talents
Advanced Extreme Effort.MOD	CATEGORY:Talent	TYPE:StrongPlus
Advanced Ignore Hardness.MOD	CATEGORY:Talent	TYPE:StrongPlus
Advanced Melee Smash.MOD	CATEGORY:Talent	TYPE:StrongPlus
Improved Extreme Effort.MOD	CATEGORY:Talent	TYPE:StrongPlus
Improved Ignore Hardness.MOD	CATEGORY:Talent	TYPE:StrongPlus
Improved Melee Smash.MOD	CATEGORY:Talent	TYPE:StrongPlus

### Tough Hero
Damage Reduction II.MOD		CATEGORY:Talent	TYPE:ToughPlus
Damage Reduction III.MOD	CATEGORY:Talent	TYPE:ToughPlus
Remain Conscious.MOD		CATEGORY:Talent	TYPE:ToughPlus
Second Wind.MOD			CATEGORY:Talent	TYPE:ToughPlus
Stamina.MOD				CATEGORY:Talent	TYPE:ToughPlus

#
# End
#
