# CVS $Revision$ $Author$ -- Wed Nov 28 23:54:00 2007 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Modern System Reference Document	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

###Block: Special Abilities
# Feat Name		Type			Visible	Special ABility																									Define																				Combat bonus										Stat bonus										Modify VAR
Ability Surge	TYPE:Special	VISIBLE:NO	SAB:Ability Surge ~ %/day for % rounds (STR +%, Defense -% when Surged)|AbilitySurgeTimes|AbilitySurgeRounds|AbilitySurgeStrBonus|AbilitySurgeDefensePenalty	DEFINE:AbilitySurgeTimes|0	DEFINE:AbilitySurgeRounds|0	DEFINE:AbilitySurgeStrBonus|0	DEFINE:AbilitySurgeDefensePenalty|0	BONUS:COMBAT|AC|-AbilitySurgeDefensePenalty|TYPE=Temporary|PREAPPLY:PC	BONUS:STAT|STR|AbilitySurgeStrBonus|TYPE=Temporary|PREAPPLY:PC	BONUS:VAR|AbilitySurgeRounds|0	BONUS:VAR|AbilitySurgeDefensePenalty|2	BONUS:VAR|AbilitySurgeStrBonus|4*AbilitySurgeDefensePenalty
Swift Strike	TYPE:Special	VISIBLE:NO	SAB:Swift Strike +%d%|SwiftStrike|SwiftStrikeDie																			DEFINE:SwiftStrikeDie|6	DEFINE:SwiftStrike|0
Trap Sense		TYPE:Special	VISIBLE:NO	SAB:Trap Sense (Ex) +%|TrapSense																						DEFINE:TrapSense|0
Uncanny Stealth	TYPE:Special	VISIBLE:NO	SAB:Uncanny Stealth (full speed)|PREVARLT:UncannyStealthChargeQual,1	SAB:Uncanny Stealth (charge/run)|PREVARGTEQ:UncannyStealthChargeQual,1

###Block: Xenophile Xenotype block
# Feat Name					Type				Visible	Required Feat					Required Skill							Special ABility									Define							Stackable?	Multiple?	Choose		Modify VAR
Base Xenotype				TYPE:Special		VISIBLE:NO																												DEFINE:XenotypeBase|2

Xenotype (Aberration)			TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Earth and Life Sciences)=12	SAB:Xenotype (Aberration) +%|XenotypeAberration				DEFINE:XenotypeAberration|XenotypeBase
Xenotype Bonus (Aberration)		TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Aberration)																														STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeAberration|2
Xenotype (Animal)				TYPE:Xenotype		VISIBLE:NO																	SAB:Xenotype (Animal) +%|XenotypeAnimal					DEFINE:XenotypeAnimal|XenotypeBase
Xenotype Bonus (Animal)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Animal)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeAnimal|2
Xenotype (Construct)			TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Technology)=9				SAB:Xenotype (Construct) +%|XenotypeConstruct				DEFINE:XenotypeConstruct|XenotypeBase
Xenotype Bonus (Construct)		TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Construct)																														STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeConstruct|2
Xenotype (Dragon)				TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Earth and Life Sciences)=9	SAB:Xenotype (Dragon) +%|XenotypeDragon					DEFINE:XenotypeDragon|XenotypeBase
Xenotype Bonus (Dragon)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Dragon)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeDragon|2
Xenotype (Elemental)			TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Earth and Life Sciences)=9	SAB:Xenotype (Elemental) +%|XenotypeElemental				DEFINE:XenotypeElemental|XenotypeBase
Xenotype Bonus (Elemental)		TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Elemental)																														STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeElemental|2
Xenotype (Fey)				TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Arcane Lore)=6			SAB:Xenotype (Fey) +%|XenotypeFey						DEFINE:XenotypeFey|XenotypeBase
Xenotype Bonus (Fey)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Fey)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeFey|2
Xenotype (Giant)				TYPE:Xenotype		VISIBLE:NO																	SAB:Xenotype (Giant) +%|XenotypeGiant					DEFINE:XenotypeGiant|XenotypeBase
Xenotype Bonus (Giant)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Giant)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeGiant|2
Xenotype (Magical Beast)		TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Arcane Lore)=9			SAB:Xenotype (Magical Beast) +%|XenotypeMagicalBeast			DEFINE:XenotypeMagicalBeast|XenotypeBase
Xenotype Bonus (Magical Beast)	TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Magical Beast)																														STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeMagicalBeast|2
Xenotype (Monstrous Humanoid)		TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Earth and Life Sciences)=9	SAB:Xenotype (Monstrous Humanoid) +%|XenotypeMonstrousHumanoid	DEFINE:XenotypeMonstrousHumanoid|XenotypeBase
Xenotype Bonus (Monstrous Humanoid)	TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Monstrous Humanoid)																													STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeMonstrousHumanoid|2
Xenotype (Ooze)				TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Earth and Life Sciences)=9	SAB:Xenotype (Ooze) +%|XenotypeOoze						DEFINE:XenotypeOoze|XenotypeBase
Xenotype Bonus (Ooze)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Ooze)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeOoze|2
Xenotype (Outsider)			TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Theology and Philosophy)=9	SAB:Xenotype (Outsider) +%|XenotypeOutsider				DEFINE:XenotypeOutsider|XenotypeBase
Xenotype Bonus (Outsider)		TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Outsider)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeOutsider|2
Xenotype (Plant)				TYPE:Xenotype		VISIBLE:NO																	SAB:Xenotype (Plant) +%|XenotypePlant					DEFINE:XenotypePlant|XenotypeBase
Xenotype Bonus (Plant)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Plant)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypePlant|2
Xenotype (Undead)				TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Theology and Philosophy)=9	SAB:Xenotype (Undead) +%|XenotypeUndead					DEFINE:XenotypeUndead|XenotypeBase
Xenotype Bonus (Undead)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Undead)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeUndead|2
Xenotype (Vermin)				TYPE:Xenotype		VISIBLE:NO																	SAB:Xenotype (Verimin) +%|XenotypeVermin					DEFINE:XenotypeVermin|XenotypeBase
Xenotype Bonus (Vermin)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Vermin)																															STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|XenotypeVermin|2

#
# End
#
