# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Modern System Reference Document - Menace	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01

# Feat Name								Type						Visible	Special ABility
# Ability Name	Unique Key								Output Name							Category of Ability		Type										Visible		Special ABility
Acid			KEY:Revenant Special Vulnerability Acid			OUTPUTNAME:Vulnerability to Acid			CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Acid (Ex)
Electricity		KEY:Revenant Special Vulnerability Electricity		OUTPUTNAME:Vulnerability to Electricity		CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Electricity (Ex)
Fire			KEY:Revenant Special Vulnerability Fire			OUTPUTNAME:Vulnerability to Fire			CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Fire (Ex)
Cold			KEY:Revenant Special Vulnerability Cold			OUTPUTNAME:Vulnerability to Cold			CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Cold (Ex)
Sonic/Concussion	KEY:Revenant Special Vulnerability Sonic/Concussion	OUTPUTNAME:Vulnerability to Sonic/Concussion	CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Sonic/Concussion (Ex)
Slashing		KEY:Revenant Special Vulnerability Slashing		OUTPUTNAME:Vulnerability to Slashing		CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Slashing (Ex)
Piercing		KEY:Revenant Special Vulnerability Piercing		OUTPUTNAME:Vulnerability to Piercing		CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Piercing (Ex)
Bludgeoning		KEY:Revenant Special Vulnerability Bludgeoning		OUTPUTNAME:Vulnerability to Bludgeoning		CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Bludgeoning (Ex)
Ballistic		KEY:Revenant Special Vulnerability Ballistic		OUTPUTNAME:Vulnerability to Ballistic		CATEGORY:Special Ability	TYPE:SpecialQuality.Weakness.RevenantSpecialVulnerability	VISIBLE:DISPLAY	SAB:Special Vulnerability to Ballistic (Ex)

#
# End
#
