# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Modern System Reference Document - Menace	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd
#Original Entry by: Frank Kliewe

#Moved Abyssal and Auran from core msrd languages to this new file -- Frank Kliewe

# Language	Type				Source Page
Abyssal	TYPE:Spoken.Abyssal	SOURCEPAGE:msrdskillsii.rtf
Abyssal	TYPE:Written.Abyssal	SOURCEPAGE:msrdskillsii.rtf
Auran		TYPE:Spoken.Auran		SOURCEPAGE:msrdskillsii.rtf
Auran		TYPE:Written.Auran	SOURCEPAGE:msrdskillsii.rtf
Cat Folk	TYPE:Spoken.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Cat Folk	TYPE:Written.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Draconic	TYPE:Spoken.Draconic	SOURCEPAGE:msrdcreatures.rtf
Draconic	TYPE:Written.Draconic	SOURCEPAGE:msrdcreatures.rtf
Feline	TYPE:Spoken.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Feline	TYPE:Written.CatFolk	SOURCEPAGE:MenaceCreaturesA-I.rtf
Giant		TYPE:Spoken.Giant		SOURCEPAGE:MenaceCreaturesJ-Z.rtf
Gnoll		TYPE:Spoken.Gnoll		SOURCEPAGE:msrdcreatures.rtf
Gnoll		TYPE:Written.Gnoll	SOURCEPAGE:msrdcreatures.rtf
Goblin	TYPE:Spoken.Goblin	SOURCEPAGE:msrdcreatures.rtf
Goblin	TYPE:Written.Goblin	SOURCEPAGE:msrdcreatures.rtf
Moth Folk	TYPE:Spoken.MothFolk	SOURCEPAGE:MenaceCreaturesJ-Z.rtf
Moth Folk	TYPE:Written.MothFolk	SOURCEPAGE:MenaceCreaturesJ-Z.rtf
Terran	TYPE:Spoken.Terran	SOURCEPAGE:MenaceCreaturesJ-Z.rtf
Weren		TYPE:Spoken.Weren		SOURCEPAGE:MenaceCreaturesJ-Z.rtf
