# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Second Darkness, Chapter 5: A Memory of Darkness	SOURCESHORT:PF17	SOURCEWEB:http://paizo.com/pathfinder/adventurePath/secondDarkness/v5748btpy86j6	SOURCEDATE:2008-12
# Original Entry by Eddy Anthony (MoSaT)

###Block: Banshee Abilities
# Ability Name		Unique Key						Category of Ability		Type								Visible	Description															Source Page
Fear				KEY:Fear ~ Banshee				CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural			VISIBLE:YES	DESC:The touch of a banshee infuses the living with overwhelming waves of fear.			SOURCEPAGE:p.80
Sunlight Powerlessness	KEY:Sunlight Powerlessness ~ Banshee	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:A banshee is powerless in natural sunlight (not merely a daylight spell) and flees from it	SOURCEPAGE:p.80

###Block: Mandragora Abilities
# Ability Name	Unique Key				Category of Ability		Type						Visible	Description																								Source Page
Blood Drain		KEY:Blood Drain ~ Mandragora	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A mandragora drains blood, dealing 1 point of Strength damage, whenever it successfully bites a victim.							SOURCEPAGE:p.84
Shriek		KEY:Shriek ~ Mandragora		CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day as a standard action, a mandragora can give voice to an unsettling shriek that sounds not unlike the cry of a frightened baby.	SOURCEPAGE:p.84

###Block: Menotherian Abilities
# Ability Name	Unique Key					Category of Ability		Type						Visible	Description																	Source Page
Alternate Form	KEY:Alternate Form ~ Menotherian	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Menotherian can change into her elf-like form or back again at will as a move-equivalent action.	SOURCEPAGE:p.87

###Block: Treerazer Abilities
# Ability Name		Unique Key					Category of Ability		Type								Visible	Description													Source Page
Freedom of Movement	KEY:Freedom of Movement ~ Treerazer	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural.ModifyMovement	VISIBLE:YES	DESC:Treerazer constantly uses this ability, as the spell (CL 20th).			SOURCEPAGE:p.89
Summon Demon		KEY:Summon Demon ~ Treerazer		CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural			VISIBLE:YES	DESC:Once per day, Treerazer can automatically summon 1 shemhazian or 1d6 hezrous.	SOURCEPAGE:p.89

#
# End
#
