# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Sat Mar 30 17:43:22 2013 -- reformated by prettylst.pl v1.50 (build 19091)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by: Stefan Radermacher

###Block: Martial Weapons
#------light---------
# Equipment Name	Required Weapon Proficiency		Type											Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage	Modifier		Wield Category	Reach Multiplier	Size		Source Page
# Weapon Name	Type
Dogslicer		TYPE:Martial.Melee.Light.Slashing.MeleeSlashing
War Razor		TYPE:Martial.Melee.Light.Slashing.MeleeSlashing
#-----one handed -------
Klar			TYPE:Martial.Melee.OneHanded.Slashing.MeleeSlashing
#-----two handed -------
Earth Breaker	TYPE:Martial.Melee.TwoHanded.Bludgeoning.MeleeBludgeoning
Horsechopper	TYPE:Martial.Melee.TwoHanded.Piercing.Slashing.MeleePiercing.MeleeSlashing
Ogre Hook		TYPE:Martial.Melee.TwoHanded.Piercing.MeleePiercing

###Block: Exotic Weapons
#-----one handed -------
# Equipment Name					Required Weapon Proficiency
# Weapon Name		Product Identity?	Type
Aldori Dueling Sword	NAMEISPI:YES	TYPE:Martial.Exotic.Melee.OneHanded.Finessable.Slashing.MeleeSlashing
Sawtooth Sabre					TYPE:Exotic.Melee.OneHanded.Slashing.MeleeSlashing
Urumi							TYPE:Exotic.Melee.OneHanded.Slashing.MeleeSlashing
#-----two handed -------
Bladed Scarf					TYPE:Exotic.Melee.TwoHanded.Slashing.MeleeSlashing

###Bloc: Firearms
Firearms						TYPE:Exotic.Ranged.Piercing.RangedPiercing

Pepperbox						TYPE:Exotic.Ranged.OneHanded.Bludgeoning.Piercing.Firearm
Pistol						TYPE:Exotic.Ranged.OneHanded.Bludgeoning.Piercing.Firearm
Musket						TYPE:Exotic.Ranged.TwoHanded.Bludgeoning.Piercing.Firearm
Cannon						TYPE:Exotic.Ranged.Siege.Bludgeoning.Piercing.Firearm

#ISWG Weapon		Fighter Weapon Category
Dogslicer.MOD		TYPE:Bladelight
Earth Breaker.MOD		TYPE:Hammer
Horsechopper.MOD		TYPE:Polearm
Ogre Hook.MOD		TYPE:Polearm
Sawtooth Sabre.MOD	TYPE:Bladeheavy
Urumi.MOD			TYPE:Flail.Monk

#
# End
#
