# CVS $Revision$ $Author$ -- Sat Jan  5 17:52:59 2013 -- reformated by prettylst.pl v1.39 (build 18270)
SOURCELONG:Dragon Empires Primer	SOURCESHORT:DEP	SOURCEWEB:http://paizo.com/products/btpy8pg0?Pathfinder-Player-Companion-Dragon-Empires-Primer	SOURCEDATE:2012-01
# Original Entry by: Swiftbrook, Stefan Radermacher

###Block: Human Ethnicities
# Ability Name				Product Identity?	Category of Ability	Type				Visible		Template						Source Page
Tian-Dan					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Dan)		SOURCEPAGE:p.8
Tian-Dtang					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Dtang)	SOURCEPAGE:p.8
Tian-Hwan					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Hwan)	SOURCEPAGE:p.8
Tian-La					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-La)		SOURCEPAGE:p.8
Tian-Min					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Min)		SOURCEPAGE:p.8
Tian-Shu					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Shu)		SOURCEPAGE:p.8
Tian-Sing					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Sing)	SOURCEPAGE:p.8
# remove Tian collective ethnicity
CATEGORY=Background|Tian.FORGET

###Block: Regional Affinities
# Ability Name		Product Identity?	Category of Ability	Type		Visible		Description							Template								Source Page
Amanandar			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Western Empire in the East			TEMPLATE:Regional Affinity (Amanandar)			SOURCEPAGE:p.8
Bachuan			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Children of the Revolution			TEMPLATE:Regional Affinity (Bachuan)			SOURCEPAGE:p.8
Chu Ye			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Kingdom of the Oni					TEMPLATE:Regional Affinity (Chu Ye)				SOURCEPAGE:p.9
Darklands (Tian-Xia)	NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Underground Realm of Monsters and Mystery	TEMPLATE:Regional Affinity (Darklands (Tian-Xia))	SOURCEPAGE:p.9
Dtang Ma			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Feudal Kingdom of Sorcerers			TEMPLATE:Regional Affinity (Dtang Ma)			SOURCEPAGE:p.10
Forest of Spirits		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Sprawling Supernatural Wilderness		TEMPLATE:Regional Affinity (Forest of Spirits)		SOURCEPAGE:p.10
Goka				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Gateway to the West				TEMPLATE:Regional Affinity (Goka)				SOURCEPAGE:p.11
Hongal			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Tundra of the Horse Lords			TEMPLATE:Regional Affinity (Hongal)				SOURCEPAGE:p.11
Hwanggot			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Kingdom of Flowers					TEMPLATE:Regional Affinity (Hwanggot)			SOURCEPAGE:p.12
Jinin				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Displaced Elven Nation				TEMPLATE:Regional Affinity (Jinin)				SOURCEPAGE:p.12
Kaoling			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Brutal Hobgoblin Empire				TEMPLATE:Regional Affinity (Kaoling)			SOURCEPAGE:p.13
Kwanlai			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Rising Tengu Nation				TEMPLATE:Regional Affinity (Kwanlai)			SOURCEPAGE:p.13
Lingshen			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Empire of Eternal Armies				TEMPLATE:Regional Affinity (Lingshen)			SOURCEPAGE:p.14
Minata			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:The Wandering Isles				TEMPLATE:Regional Affinity (Minata)				SOURCEPAGE:p.14
Minkai			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Empire of Dawn					TEMPLATE:Regional Affinity (Minkai)				SOURCEPAGE:p.15
Nagajor			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Forbidding Serpentine Empire			TEMPLATE:Regional Affinity (Nagajor)			SOURCEPAGE:p.15
Po Li				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Spiritual Stronghold of a Fallen Empire	TEMPLATE:Regional Affinity (Po Li)				SOURCEPAGE:p.16
Quain				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Land of a Thousand Heroes			TEMPLATE:Regional Affinity (Quain)				SOURCEPAGE:p.16
