# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:XCrawl: Adventures in the Xtreme Dungeon Crawl League	SOURCESHORT:XCrawl	SOURCEWEB:http://www.pandahead.com/Xcrawl/index.php	SOURCEDATE:2002-01

###Block:.MOD section
# Spell Name			Domains granting the spell
Animate Objects.MOD		DOMAINS:Art=6
Augury.MOD				DOMAINS:Decision=2
Bane.MOD				DOMAINS:Fate=1
Bestow Curse.MOD			DOMAINS:Fate=3
Binding.MOD				DOMAINS:Fate=8
Calm Emotions.MOD			DOMAINS:Fertility=2
Charm Monster.MOD			DOMAINS:Love=5
Charm Person.MOD			DOMAINS:Love=1
Commune.MOD				DOMAINS:Decision=5
Control Weather.MOD		DOMAINS:Weather=5
Control Winds.MOD			DOMAINS:Weather=4
Darkvision.MOD			DOMAINS:Night=2
Darkness.MOD			DOMAINS:Night=1
Death Ward.MOD			DOMAINS:Fate=4
Deathwatch.MOD			DOMAINS:Fertility=1
Deeper Darkness.MOD		DOMAINS:Night=3
Discern Location.MOD		DOMAINS:Decision=8
Divination.MOD			DOMAINS:Decision=4
Emotion.MOD				DOMAINS:Love=3
Enthrall.MOD			DOMAINS:Love=2
Entropic Shield.MOD		DOMAINS:Fate=2
Fabricate.MOD			DOMAINS:Art=5
Foresight.MOD			DOMAINS:Decision=9
Goodberry.MOD			DOMAINS:Wine=3
Greater Magic Weapon.MOD	DOMAINS:Art=4
Greater Restoration.MOD		DOMAINS:Fertility=8
Greater Shadow Evocation.MOD	DOMAINS:Night=9
Gust of Wind.MOD			DOMAINS:Weather=3
Glyph of Warding.MOD		DOMAINS:Fertility=9
Hallow.MOD				DOMAINS:Fertility=6
Heal.MOD				DOMAINS:Fertility=7
Hideous Laughter.MOD		DOMAINS:Wine=5
Ice Storm.MOD			DOMAINS:Weather=7
Identify.MOD			DOMAINS:Art=1
Insanity.MOD			DOMAINS:Love=7
Irresistible Dance.MOD		DOMAINS:Wine=9
Lightning Bolt.MOD		DOMAINS:Weather=8
Make Whole.MOD			DOMAINS:Art=2
Mark of Justice.MOD		DOMAINS:Fate=5
Mass Suggestion.MOD		DOMAINS:Love=6
Mind Fog.MOD			DOMAINS:Wine=8
Miracle.MOD				DOMAINS:Fate,Love=9
Neutralize Poison.MOD		DOMAINS:Wine=7
Nondetection.MOD			DOMAINS:Night=4
Obscuring Mist.MOD		DOMAINS:Weather=1
Random Action.MOD			DOMAINS:Decision=1|Wine=4
Refuge.MOD				DOMAINS:Art=9
Remove Blindness/Deafness.MOD	DOMAINS:Fertility=3
Remove Disease.MOD		DOMAINS:Fertility=4
Restoration.MOD			DOMAINS:Fertility=5
Righteous Might.MOD		DOMAINS:Wine=6
Sending.MOD				DOMAINS:Love=4
Shades.MOD				DOMAINS:Night=8
Shadow Conjuration.MOD		DOMAINS:Night=5
Shadow Evocation.MOD		DOMAINS:Night=6
Shadow Walk.MOD			DOMAINS:Night=7
Slay Living.MOD			DOMAINS:Fate=6
Sleet Storm.MOD			DOMAINS:Weather=6
Speak with Dead.MOD		DOMAINS:Decision=3
Statue.MOD				DOMAINS:Art=7
Stone Shape.MOD			DOMAINS:Art=3
Stone Tell.MOD			DOMAINS:Decision=6
Storm of Vengeance.MOD		DOMAINS:Weather=9
Symbol.MOD				DOMAINS:Art,Love=8
True Seeing.MOD			DOMAINS:Decision=7
Whispering Wind.MOD		DOMAINS:Weather=2
Word of Chaos.MOD			DOMAINS:Fate=7


###Block:Xcrawl spells
# Spell Name				Classes of caster				Domains granting the spell	School			Sub-School			Spell Descriptors			Type		Components		Casting Time		Range		Target Area or Effect													Duration					Save Info						Spell Resistance			Cost
Bless Wine					CLASSES:Cleric,Paladin=1		DOMAINS:Wine=2			SCHOOL:Transmutation					DESCRIPTOR:Good			TYPE:Divine	COMPS:V, S, M	CASTTIME:1 minute		RANGE:Touch	TARGETAREA:Flask of wine touched											DURATION:Instantaneous			SAVEINFO:Will negates (object)		SPELLRES:Yes (object)		COST:25
Create Food and Wine			CLASSES:Cleric=3				DOMAINS:Wine=1			SCHOOL:Conjuration	SUBSCHOOL:Creation						TYPE:Divine	COMPS:V, S		CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Food and wine to sustain (CASTERLEVEL*3) humans or (CASTERLEVEL) horses for 1 day	DURATION:24 hours				SAVEINFO:None					SPELLRES:No
Melsenschlap's 1-D Fighter		CLASSES:Sorcerer,Wizard=4							SCHOOL:Transmutation					DESCRIPTOR:Copyrighted		TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action		RANGE:Touch	TARGETAREA:Creature touched												DURATION:(CASTERLEVEL+3) rounds	SAVEINFO:None or Will negates (harmless)	SPELLRES:No or Yes (harmless)	COST:50
Marco Polo					CLASSES:Bard,Sorcerer,Wizard=3						SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	TYPE:Arcane	COMPS:V		CASTTIME:1 action		RANGE:Short	TARGETAREA:One or more creatures in given area									DURATION:(CASTERLEVEL+1) rounds	SAVEINFO:Will negates				SPELLRES:Yes
Racanda's Workout				CLASSES:Sorcerer,Wizard=1							SCHOOL:Transmutation					DESCRIPTOR:Copyrighted		TYPE:Arcade	COMPS:V, S, M	CASTTIME:1 action		RANGE:Touch	TARGETAREA:Creature touched												DURATION:Instantaneous			SAVEINFO:No						SPELLRES:No				COST:10
Villalobo's Knife Outa Nowhere	CLASSES:Sorcerer,Wizard=3							SCHOOL:Evocation						DESCRIPTOR:Copyrighted		TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action		RANGE:Touch	TARGETAREA:Creature touched												DURATION:Instantaneous			SAVEINFO:Special					SPELLRES:Special			COST:25
