# CVS $Revision: 2339 $ $Author: tir-gwaith $ -- Sun Apr 29 00:15:01 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:PCGen Open Gaming Content	SOURCESHORT:PCGen OGC	SOURCEWEB:../../../../docs/sourcehelp/pcgen_ogc_help.html
# Original entry by: Arknight
# TaluronIscandar - added sperate entries for each personality.

###Block: P
# Race Name					MONSTERCLASS
Psicrystal (Artiste).MOD		MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Bully).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Coward).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Friendly).MOD		MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Hero).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Liar).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Meticulous).MOD		MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Nimble).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Observant).MOD		MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Poised).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Resolved).MOD		MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Sage).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Single Minded).MOD	MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Sneaky).MOD			MONSTERCLASS:Construct (Psicrystal):1
Psicrystal (Sympathetic).MOD		MONSTERCLASS:Construct (Psicrystal):1

#
# End
#
