# CVS $Revision$ $Author$ -- Thu Apr 26 23:59:39 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:Timeline: The Roaring 20s	SOURCESHORT:R20	SOURCEWEB:http://www.rpgobjects.com/index.php?page=pro&product_id=196

###Block: Occupations
# Feat Name					Output Name			Type			Visible	Prohibited Race		Modify VAR							Source Page		ADD:
Occupation (Explorer)			OUTPUTNAME:[NAME]		TYPE:Occupation	VISIBLE:NO	!PRERACE:1,TYPE=Robot	BONUS:VAR|Reputation|1	BONUS:VAR|WealthBonus|2	SOURCEPAGE:p.2	ADD:FEAT|2|TYPE=Explorer_Skills
Occupation (Primitive)			OUTPUTNAME:[NAME]		TYPE:Occupation	VISIBLE:NO	!PRERACE:1,TYPE=Robot									SOURCEPAGE:p.2	ADD:FEAT|3|TYPE=Primitive_Skills	ADD:FEAT|1|TYPE=Primitive_Feat
Occupation (Psychic - Roaring 20s)	OUTPUTNAME:Psychic	TYPE:Occupation	VISIBLE:NO	!PRERACE:1,TYPE=Robot	BONUS:VAR|Reputation|1					SOURCEPAGE:p.2	ADD:FEAT|2|TYPE=Psychic_Roaring_Skills	ADD:FEAT|1|TYPE=Psychic_Roaring_Feat

###Block: Skill feat mods
# Feat Name								Type
Balance(class skill).MOD					TYPE:Explorer_Skills.Primitive_Skills
Balance(+1 to skill).MOD					TYPE:Explorer_Skills.Primitive_Skills

Bluff(class skill).MOD						TYPE:Psychic_Roaring_Skills
Bluff(+1 to skill).MOD						TYPE:Psychic_Roaring_Skills

Climb(class skill).MOD						TYPE:Explorer_Skills.Primitive_Skills
Climb(+1 to skill).MOD						TYPE:Explorer_Skills.Primitive_Skills

Craft (Structural - class skill).MOD			TYPE:Primitive_Skills
Craft (Structural - +1 to skill).MOD			TYPE:Primitive_Skills

Diplomacy(class skill).MOD					TYPE:Psychic_Roaring_Skills
Diplomacy(+1 to skill).MOD					TYPE:Psychic_Roaring_Skills

Drive(class skill).MOD						TYPE:Explorer_Skills
Drive(+1 to skill).MOD						TYPE:Explorer_Skills

Escape Artist(class skill).MOD				TYPE:Primitive_Skills
Escape Artist(+1 to skill).MOD				TYPE:Primitive_Skills

Handle Animal(class skill).MOD				TYPE:Explorer_Skills.Primitive_Skills
Handle Animal(+1 to skill).MOD				TYPE:Explorer_Skills.Primitive_Skills

Hide(class skill).MOD						TYPE:Primitive_Skills
Hide(+1 to skill).MOD						TYPE:Primitive_Skills

Intimidate(class skill).MOD					TYPE:Primitive_Skills.Psychic_Roaring_Skills
Intimidate(+1 to skill).MOD					TYPE:Primitive_Skills.Psychic_Roaring_Skills

Jump(class skill).MOD						TYPE:Primitive_Skills
Jump(+1 to skill).MOD						TYPE:Primitive_Skills

Knowledge (Arcane Lore - class skill).MOD			TYPE:Explorer_Skills.Psychic_Roaring_Skills
Knowledge (Arcane Lore - +1 to skill).MOD			TYPE:Explorer_Skills.Psychic_Roaring_Skills

Knowledge (Behavioral Sciences - class skill).MOD	TYPE:Psychic_Roaring_Skills
Knowledge (Behavioral Sciences - +1 to skill).MOD	TYPE:Psychic_Roaring_Skills

Knowledge (Earth and Life Sciences - class skill).MOD	TYPE:Explorer_Skills
Knowledge (Earth and Life Sciences - +1 to skill).MOD	TYPE:Explorer_Skills

Knowledge (History - class skill).MOD			TYPE:Explorer_Skills
Knowledge (History - +1 to skill).MOD			TYPE:Explorer_Skills

Knowledge (Physical Sciences - class skill).MOD		TYPE:Explorer_Skills
Knowledge (Physical Sciences - +1 to skill).MOD		TYPE:Explorer_Skills

Knowledge (Technology - class skill).MOD			TYPE:Explorer_Skills
Knowledge (Technology - +1 to skill).MOD			TYPE:Explorer_Skills

Knowledge (Theology and Philosophy - class skill).MOD	TYPE:Psychic_Roaring_Skills
Knowledge (Theology and Philosophy - +1 to skill).MOD	TYPE:Psychic_Roaring_Skills

Listen(class skill).MOD						TYPE:Explorer_Skills.Primitive_Skills.Psychic_Roaring_Skills
Listen(+1 to skill).MOD						TYPE:Explorer_Skills.Primitive_Skills.Psychic_Roaring_Skills

Move Silently(class skill).MOD				TYPE:Primitive_Skills
Move Silently(+1 to skill).MOD				TYPE:Primitive_Skills

Navigate(class skill).MOD					TYPE:Explorer_Skills.Primitive_Skills
Navigate(+1 to skill).MOD					TYPE:Explorer_Skills.Primitive_Skills

Pilot(class skill).MOD						TYPE:Explorer_Skills
Pilot(+1 to skill).MOD						TYPE:Explorer_Skills

Repair(class skill).MOD						TYPE:Explorer_Skills
Repair(+1 to skill).MOD						TYPE:Explorer_Skills

Research(class skill).MOD					TYPE:Explorer_Skills.Psychic_Roaring_Skills
Research(+1 to skill).MOD					TYPE:Explorer_Skills.Psychic_Roaring_Skills

Ride(class skill).MOD						TYPE:Explorer_Skills.Primitive_Skills
Ride(+1 to skill).MOD						TYPE:Explorer_Skills.Primitive_Skills

Search(class skill).MOD						TYPE:Explorer_Skills
Search(+1 to skill).MOD						TYPE:Explorer_Skills

Sense Motive(class skill).MOD					TYPE:Psychic_Roaring_Skills
Sense Motive(+1 to skill).MOD					TYPE:Psychic_Roaring_Skills

Sleight of Hand(class skill).MOD				TYPE:Psychic_Roaring_Skills
Sleight of Hand(+1 to skill).MOD				TYPE:Psychic_Roaring_Skills

Speak Language(class skill).MOD				TYPE:Explorer_Skills
Speak Language(1 additional language).MOD			TYPE:Explorer_Skills

Spot(class skill).MOD						TYPE:Explorer_Skills.Primitive_Skills.Psychic_Roaring_Skills
Spot(+1 to skill).MOD						TYPE:Explorer_Skills.Primitive_Skills.Psychic_Roaring_Skills

Survival(class skill).MOD					TYPE:Explorer_Skills.Primitive_Skills
Survival(+1 to skill).MOD					TYPE:Explorer_Skills.Primitive_Skills

Swim(class skill).MOD						TYPE:Explorer_Skills.Primitive_Skills
Swim(+1 to skill).MOD						TYPE:Explorer_Skills.Primitive_Skills

Tumble(class skill).MOD						TYPE:Primitive_Skills
Tumble(+1 to skill).MOD						TYPE:Primitive_Skills

Concentration(class skill).MOD				TYPE:Psychic_Roaring_Skills
Concentration(+1 to skill).MOD				TYPE:Psychic_Roaring_Skills
