# CVS $Revision$ $Author$ -- Fri Nov 23 13:32:02 2007 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Shadows of Shinobi	SOURCESHORT:SoS	SOURCEWEB:http://paginas.terra.com.br/lazer/tiagobhz/secular/site/products.html#ninja

#CREATED BY: Paul W. King, Jan 2007
#EDITED BY: Paul W. King, Jan 2007

# Weapon Name	Type
Bo Shuriken		TYPE:Exotic
Tsubute		TYPE:Exotic

Futokoro Teppo	TYPE:Exotic
Uchi Ne		TYPE:Exotic

Ninja To		TYPE:Exotic

Bakuhatsugama	TYPE:Exotic
Hyakurai Ju		TYPE:Exotic
Kusarigama		TYPE:Exotic

#
# End
#
