# CVS $Revision$ $Author$ -- Wed Jan 16 17:25:24 2008 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:System Reference Document	SOURCESHORT:SRD	SOURCEWEB:http://groups.yahoo.com/group/pcgen/files/3.0%20SRD/
###Comment: Low priority but start of bring srd closer to rsrd. -AM

###Block: 1/2 dragon template flight capability
# Feat Name		Type			Visible	Minimum Size		Special ABility	MOVECLONE
Dragon Flight	TYPE:DragonFlight	VISIBLE:NO	PREBASESIZEGTEQ:Large	SAB:Dragon Wings	MOVECLONE:Walk,Fly,0



###Block: Ghost Abilities
# Feat Name			Type			Visible	Special ABility
Corrupting Gaze		TYPE:GhostAbility	VISIBLE:NO	SAB:Corrupting Gaze (Su) DC%|GhostAbilityDC
Corrupting Touch		TYPE:GhostAbility	VISIBLE:NO	SAB:Corrupting Touch (Su) DC%|GhostAbilityDC
Draining Touch		TYPE:GhostAbility	VISIBLE:NO	SAB:Draining Touch (Su) DC%|GhostAbilityDC
Frightful Moan		TYPE:GhostAbility	VISIBLE:NO	SAB:Frightful Moan (Su) DC%|GhostAbilityDC
Horrific Appearance	TYPE:GhostAbility	VISIBLE:NO	SAB:Horrific Appearance (Su) DC%|GhostAbilityDC
Malevolence			TYPE:GhostAbility	VISIBLE:NO	SAB:Malevolence (Su) DC%|15+max(CHA,0)|PRETEMPLATE:Ghost
Telekinesis			TYPE:GhostAbility	VISIBLE:NO	SAB:Telekinesis (Su) DC%|GhostAbilityDC

###Block: Monster DR
# Feat Name			Type			Visible	Damage Reduction
Monster DR ~ 5 plus 1	TYPE:Special	VISIBLE:NO	DR:5/+1
Monster DR ~ 5 plus 2	TYPE:Special	VISIBLE:NO	DR:5/+2
Monster DR ~ 10 plus 1	TYPE:Special	VISIBLE:NO	DR:10/+1
Monster DR ~ 10 plus 3	TYPE:Special	VISIBLE:NO	DR:10/+3
Monster DR ~ 15 plus 2	TYPE:Special	VISIBLE:NO	DR:15/+2
Monster DR ~ 20 plus 2	TYPE:Special	VISIBLE:NO	DR:20/+2
Monster DR ~ 20 plus 3	TYPE:Special	VISIBLE:NO	DR:20/+3

###Block: Wildshape Tempmod Support
# Feat Name			Type			Visible	Vision
Wildshape Blindsight	TYPE:Special	VISIBLE:NO	VISION:Blindsight (120')

#
# End
#
