# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Revised (v.3.5) System Reference Document	SOURCESHORT:RSRD	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35	SOURCEDATE:2000-01
# Original Entry by: Aaron Divinsky <boomer70@yahoo.com>

STARTPACK:Minor Potions	TYPE:Treasure	VISIBLE:YES	APPLY:INSTANT	EQUIPBUY:0
SELECT:roll("1d100")
GEAR:Potion (Cure Light Wounds)			OPTION:1,10
GEAR:Potion (Endure Elements)				OPTION:11,13
GEAR:Potion (Hide from Animals)			OPTION:14,15
GEAR:Potion (Hide from Undead)			OPTION:16,17
GEAR:Potion (Jump)					OPTION:18,19
GEAR:Potion (Mage Armor)				OPTION:20,22
GEAR:Potion (Magic Fang)				OPTION:23,25
GEAR:Potion (Oil of Magic Stone)			OPTION:26
GEAR:Potion (Oil of Magic Weapon)			OPTION:27,29
GEAR:Potion (Pass without Trace)			OPTION:30
KIT:Potion (Protection from Alignment)	OPTION:31,32
GEAR:Potion (Remove Fear)				OPTION:33,34
GEAR:Potion (Sanctuary)					OPTION:35
GEAR:Potion (Shield of Faith +2)			OPTION:36,38
GEAR:Potion(Oil of Shillelagh)			OPTION:39
GEAR:Potion(Oil of Bless Weapon)			OPTION:40,41
GEAR:Potion (Enlarge Person)				OPTION:42,44
GEAR:Potion (Reduce Person)				OPTION:45
GEAR:Potion (Aid)						OPTION:46,47
GEAR:Potion (Barkskin +2)				OPTION:48,50
GEAR:Potion (Bear's Endurance)			OPTION:51,53
GEAR:Potion (Blur)					OPTION:54,56
GEAR:Potion (Bull's Strength)				OPTION:57,59
GEAR:Potion (Cat's Grace)				OPTION:60,62
GEAR:Potion (Cure Moderate Wounds)			OPTION:63,67
GEAR:Potion (Oil of Darkness)				OPTION:68
GEAR:Potion (Darkness)					OPTION:69,71
GEAR:Potion (Delay Poison)				OPTION:72,74
GEAR:Potion (Eagle's Splendor)			OPTION:75,76
GEAR:Potion (Fox's Cunning)				OPTION:77,78
KIT:Potion or Oil of Invisibility		OPTION:79,81
GEAR:Potion (Lesser Restoration)			OPTION:82,84
KIT:Potion or Oil of Levitate			OPTION:85,86
GEAR:Potion (Misdirection)				OPTION:87
GEAR:Potion (Owl's Wisdom)				OPTION:88,89
GEAR:Potion (Protection from Arrows 10/magic)	OPTION:90,91
