# CVS $Revision$ $Author$ -- Sun Aug 31 15:40:03 2008 -- reformated by prettylst.pl v1.38 (build 7233)
#SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd



# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI		Display Location
ABILITYCATEGORY:High Fiend Knowledge	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:HighFiendKnowledge	PLURAL:High Fiend Knowledge		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Low Fiend Knowledge		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:LowFiendKnowledge	PLURAL:Low Fiend Knowledge		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Immunity		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureImmunity	PLURAL:Fiend Immunities			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Resistance		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureResistance	PLURAL:Fiend Resistances		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Damage Reduction	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureDR		PLURAL:Fiend Damage Reduction		DISPLAYLOCATION:Racial Abilities

ABILITYCATEGORY:Fiend Land Movement		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureMoveLand	PLURAL:Fiend Land Movement		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Swim Movement		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureMoveWater	PLURAL:Fiend Swim Movement		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Climbing Movement	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureMoveClimb	PLURAL:Fiend Climbing Movement	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Burrow Movement	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureMoveEarth	PLURAL:Fiend Burrow Movement		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Fiend Fly Movement		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CreatureMoveAir	PLURAL:Fiend Fly Movement		DISPLAYLOCATION:Racial Abilities

#
# End
#
