# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Modern System Reference Document	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01

# Feat Name					Type
Advanced Combat Martial Arts.MOD	TYPE:MechaJockey
Burst Fire.MOD				TYPE:MechaJockey
Cleave.MOD					TYPE:MechaJockey
Combat Expertise.MOD			TYPE:MechaJockey
Dead Aim.MOD				TYPE:MechaJockey
Dodge.MOD					TYPE:MechaJockey
Double Tap.MOD				TYPE:MechaJockey
Far Shot.MOD				TYPE:MechaJockey
Force Stop.MOD				TYPE:MechaJockey
Gearhead.MOD				TYPE:MechaJockey
Great Cleave.MOD				TYPE:MechaJockey
Improved Bull Rush.MOD			TYPE:MechaJockey
Improved Disarm.MOD			TYPE:MechaJockey
Improved Trip.MOD				TYPE:MechaJockey
Mobility.MOD				TYPE:MechaJockey
Personal Firearms Proficiency.MOD	TYPE:MechaJockey
Point Blank Shot.MOD			TYPE:MechaJockey
Power Attack.MOD				TYPE:MechaJockey
Precise Shot.MOD				TYPE:MechaJockey
Shot on the Run.MOD			TYPE:MechaJockey
Spring Attack.MOD				TYPE:MechaJockey
Strafe.MOD					TYPE:MechaJockey
Sunder.MOD					TYPE:MechaJockey
Weapon Focus.MOD				TYPE:MechaJockey
Whirlwind Attack.MOD			TYPE:MechaJockey
