SOURCELONG:Path of Iron	SOURCESHORT:PoI	SOURCEWEB:https://www.opengamingstore.com/collections/premier-partners/products/path-of-iron	SOURCEDATE:2015-01
# Original Entry by: Sean Butler (Tamdrik)

# Ability Name	Category of Ability	Define			Ability							Modify VAR
Vanguard		CATEGORY:Class

###Block:


#
CATEGORY=Class|Vanguard.MOD											ABILITY:Internal|AUTOMATIC|Vanguard ~ Class Skills|PREVAREQ:Vanguard_CF_ClassSkills,0

CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_ClassSkills|0

CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_WeaponProficiencies|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_ArmorProficiencies|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_ConstructCompanion|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_Augmentation|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_Resonance|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_Cantrips|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_Imbue|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_IntuitiveConstruction|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeats|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_VanguardTactics|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_VanguardArcana|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_RapidReconstruction|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_PerfectResonance|0

CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_ClassSkills|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_ClassSkills=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_WeaponProficiencies|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_WeaponProficiencies=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_ArmorProficiencies|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_ArmorProficiencies=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_ConstructCompanion|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_ConstructCompanion=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Augmentation|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_Augmentation=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Resonance|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_Resonance=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Cantrips|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_Cantrips=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Imbue|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_Imbue=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_IntuitiveConstruction|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_IntuitiveConstruction=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_VanguardArcana|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_VanguardArcana=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_VanguardTactics|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_VanguardTactics=True
#CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeats|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeats=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_RapidReconstruction|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_RapidReconstruction=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_PerfectResonance|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_PerfectResonance=True

CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_WeaponProficiencies|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardWeaponProficiencies
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_ArmorProficiencies|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardArmorProficiencies
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_ConstructCompanion|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardConstructCompanion
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Augmentation|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardAugmentation
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Resonance|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardResonance
