#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00

# 0th-Level Nightblade Spells:
# Spell Name					Classes of caster
arcane mark.MOD					CLASSES:Nightblade=0
bleed.MOD						CLASSES:Nightblade=0
detect magic.MOD					CLASSES:Nightblade=0
detect poison.MOD					CLASSES:Nightblade=0
ghost sound.MOD					CLASSES:Nightblade=0
haunted fey aspect.MOD				CLASSES:Nightblade=0
light.MOD						CLASSES:Nightblade=0
message.MOD						CLASSES:Nightblade=0
open/close.MOD					CLASSES:Nightblade=0
prestidigitation.MOD				CLASSES:Nightblade=0
ray of frost.MOD					CLASSES:Nightblade=0
read magic.MOD					CLASSES:Nightblade=0
shape shadows.MOD					CLASSES:Nightblade=0
sift.MOD						CLASSES:Nightblade=0
snuff.MOD						CLASSES:Nightblade=0
spark.MOD						CLASSES:Nightblade=0
touch of fatigue.MOD				CLASSES:Nightblade=0
# 1st-Level Nightblade Spells:
blend.MOD						CLASSES:Nightblade=1
blurred movement.MOD				CLASSES:Nightblade=1
cause fear.MOD					CLASSES:Nightblade=1
chill touch.MOD					CLASSES:Nightblade=1
color spray.MOD					CLASSES:Nightblade=1
comprehend languages.MOD			CLASSES:Nightblade=1
corrosive touch.MOD				CLASSES:Nightblade=1
detect secret doors.MOD				CLASSES:Nightblade=1
discern next of kin.MOD				CLASSES:Nightblade=1
disguise self.MOD					CLASSES:Nightblade=1
disguise weapon.MOD				CLASSES:Nightblade=1
ear-piercing scream.MOD				CLASSES:Nightblade=1
expeditious retreat.MOD				CLASSES:Nightblade=1
eyes of eventide.MOD				CLASSES:Nightblade=1
feather fall.MOD					CLASSES:Nightblade=1
forced quiet.MOD					CLASSES:Nightblade=1
glue seal.MOD					CLASSES:Nightblade=1
grasp of darkness.MOD				CLASSES:Nightblade=1
grease.MOD						CLASSES:Nightblade=1
hidden illumination.MOD				CLASSES:Nightblade=1
icicle dagger.MOD					CLASSES:Nightblade=1
illusion of calm.MOD				CLASSES:Nightblade=1
interrogation.MOD					CLASSES:Nightblade=1
liberating command.MOD				CLASSES:Nightblade=1
magic aura.MOD					CLASSES:Nightblade=1
memory lapse.MOD					CLASSES:Nightblade=1
mount.MOD						CLASSES:Nightblade=1
negative reaction.MOD				CLASSES:Nightblade=1
obscure object.MOD				CLASSES:Nightblade=1
obscuring mist.MOD				CLASSES:Nightblade=1
ray of enfeeblement.MOD				CLASSES:Nightblade=1
ray of sickening.MOD				CLASSES:Nightblade=1
shadow ammunition.MOD				CLASSES:Nightblade=1
shadow stream.MOD					CLASSES:Nightblade=1
shadow weapon.MOD					CLASSES:Nightblade=1
shocking grasp.MOD				CLASSES:Nightblade=1
silent image.MOD					CLASSES:Nightblade=1
touch of gracelessness.MOD			CLASSES:Nightblade=1
umbral assistant.MOD				CLASSES:Nightblade=1
undetectable alignment.MOD			CLASSES:Nightblade=1
vanish.MOD						CLASSES:Nightblade=1
ventriloquism.MOD					CLASSES:Nightblade=1
vocal alteration.MOD				CLASSES:Nightblade=1
youthful appearance.MOD				CLASSES:Nightblade=1
# 2nd-Level Nightblade Spells:
accelerate poison.MOD				CLASSES:Nightblade=2
air step.MOD					CLASSES:Nightblade=2
aggressive thundercloud.MOD			CLASSES:Nightblade=2
anonymous interaction.MOD			CLASSES:Nightblade=2
blindness/deafness.MOD				CLASSES:Nightblade=2
blur.MOD						CLASSES:Nightblade=2
brow gasher.MOD					CLASSES:Nightblade=2
bull's strength.MOD				CLASSES:Nightblade=2
cat's grace.MOD					CLASSES:Nightblade=2
eyes of eventide (communal).MOD		CLASSES:Nightblade=2
mount (communal).MOD				CLASSES:Nightblade=2
create treasure map.MOD				CLASSES:Nightblade=2
dark confinement.MOD				CLASSES:Nightblade=2
dark recovery.MOD					CLASSES:Nightblade=2
darkness.MOD					CLASSES:Nightblade=2
darkvision.MOD					CLASSES:Nightblade=2
death knell.MOD					CLASSES:Nightblade=2
detect thoughts.MOD				CLASSES:Nightblade=2
disguise other.MOD				CLASSES:Nightblade=2
dust of twilight.MOD				CLASSES:Nightblade=2
eagle's splendor.MOD				CLASSES:Nightblade=2
enter image.MOD					CLASSES:Nightblade=2
euphoric cloud.MOD				CLASSES:Nightblade=2
extreme flexibility.MOD				CLASSES:Nightblade=2
false life.MOD					CLASSES:Nightblade=2
focused scrutiny.MOD				CLASSES:Nightblade=2
fog cloud.MOD					CLASSES:Nightblade=2
frigid touch.MOD					CLASSES:Nightblade=2
