# CVS $Revision: 15560 $ $Author: amaitland $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#SOURCELONG:Psionics Expanded - Master the Battle	SOURCESHORT:PEMB	SOURCEWEB:http://dreamscarredpress.com/dragonfly/index.php	SOURCEDATE:2012-03
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2013/01/15

###Block: Bonus Feat ability pools
# Ability Category					Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Dread Bonus Feat			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:DreadBonusFeat			PLURAL:Dread Bonus Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psionic Fighter Bonus Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Combat.Psionic			PLURAL:Psionic Fighter Bonus Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psionic Fighter Starting Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:PsionicFighterStartingFeat	PLURAL:Psionic Fighter Starting Feats	DISPLAYLOCATION:Feats

###Block: Class ability pools
# Ability Category	Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Terror	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DreadTerror	PLURAL:Terrors			DISPLAYLOCATION:Class Abilities

###Block: Dread archetype category
# Ability Category			Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Dread Archetype	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Archetype	TYPE:DreadArchetype	PLURAL:Dread Archetypes		DISPLAYLOCATION:Archetype

###Block: Improved Shield choices
# Ability Category					Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Improved Shield Blade Skill	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ImprovedShieldBladeSkill	PLURAL:Improve Shield Blade Skills	DISPLAYLOCATION:Class Abilities


###Block: Sighted Seeker bonus powers known ability pools
#ABILITYCATEGORY:Sighted Seeker Hypercognition	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SightedSeekerHypercognition	PLURAL:Sighted Seeker Hypercognition	DISPLAYLOCATION:Class Abilities
#ABILITYCATEGORY:Sighted Seeker The Sight		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SightedSeekerTheSight		PLURAL:Sighted Seeker The Sight		DISPLAYLOCATION:Class Abilities
#ABILITYCATEGORY:Sighted Seeker Metafaculty	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SightedSeekerMetafaculty		PLURAL:Sighted Seeker Metafaculty		DISPLAYLOCATION:Class Abilities
