# CVS $Revision: $ $Author: $ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
SOURCELONG:Curse of the Crimson Throne, Chapter 4: A History of Ashes	SOURCESHORT:AP10	SOURCEWEB:http://paizo.com/pathfinder/adventurePath/curseOfTheCrimsonThrone/v5748btpy82u9	SOURCEDATE:2008-07
# Original Entry by: Paul Grosse

# Equipment Name			Type					Cost		Weight	Source Page
Mask of the Mantis		TYPE:Magic.Wondrous.Headgear	COST:6000	WT:1		SOURCEPAGE:p.18
Elixir of Shadewalking		TYPE:Magic.Potion.Consumable	COST:3500	WT:1		SOURCEPAGE:p.19
Shoanti War Paint (Black)	TYPE:Magic.Potion.Consumable	COST:1800	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (Blue)	TYPE:Magic.Potion.Consumable	COST:900	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (Green)	TYPE:Magic.Potion.Consumable	COST:900	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (Orange)	TYPE:Magic.Potion.Consumable	COST:900	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (Red)		TYPE:Magic.Potion.Consumable	COST:900	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (Silver)	TYPE:Magic.Potion.Consumable	COST:900	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (White)	TYPE:Magic.Potion.Consumable	COST:1800	WT:0		SOURCEPAGE:p.14
Shoanti War Paint (Yellow)	TYPE:Magic.Potion.Consumable	COST:900	WT:0		SOURCEPAGE:p.14
Bone House				TYPE:Artifact			COST:0	WT:2		SOURCEPAGE:p.21
