# CVS $Revision$ $Author$ -- Fri Jan  2 18:16:08 2009 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Second Darkness - Chapter 5: A Memory of Darkness	SOURCESHORT:PF17	SOURCEWEB:http://paizo.com/pathfinder/adventurePath/secondDarkness/v5748btpy81tr	SOURCEDATE:2008-12
# Original Entry by Eddy Anthony (MoSaT)

###Block: Banshee Abilities
# Ability Name	Category of Ability		Type							Description														Save checks bonus			Bonus to HP				Source Page
Hear Heartbeat	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Sense	DESC:A banshee can sense the beating hearts of living creatures with horrific ease.												SOURCEPAGE:p. 80
Unholy Fortitude	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary																	BONUS:CHECKS|Fortitude|CHA	BONUS:HP|CURRENTMAX|CHA*TL	SOURCEPAGE:p. 80
Wail			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		DESC:A banshee's wail is its most notorious and devastating attack, DC %1|10+(HD/2)+CHA											SOURCEPAGE:p. 80

###Block: Leucrotta Abilities
# Ability Name	Category of Ability		Type						Description																								Source Page
Lure			CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	DESC:A leucrotta can use its voice to create a powerful compulsion to approach it if the listener isn't aware of the danger, DC %1|10+(HD/2)+CHA	SOURCEPAGE:p. 82
Powerful Bite	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:A leucrotta's bite is powerful indeed, capable of slicing through metal and cutting through bone with terrifying ease					SOURCEPAGE:p. 82
Voice Mimicry	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:A leucrotta can perfectly imitate the voice of any creature it has heard talking											SOURCEPAGE:p. 82

###Block: Mandragora Abilities
# Ability Name			Category of Ability		Type								Visible	Source Page
Vulnerability To Darkness	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	SOURCEPAGE:p. 84

###Block: Menotherian Abilities
# Ability Name	Category of Ability		Type							Description																											Source Page
Alluring Scent	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary.Aura	DESC:The Menotherian constantly exudes intoxicating pheromones that cause creatures in her vicinity to grow relaxed and react favorably toward her, DC %1|10+(HD/2)+CON	SOURCEPAGE:p. 86
Implant Swarm	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		DESC:Once per day as a standard action, the Menotherian can use her stinger to implant a cluster of eggs in a target, DC %1|10+(HD/2)+CON						SOURCEPAGE:p. 86
Mind Control	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural		DESC:The Menotherian can inject a concentrated form of its alluring scent directly into the brain of a helpless or willing humanoid creature.					SOURCEPAGE:p. 86

###Block: Treerazer Abilities
# Ability Name		Category of Ability		Type							Description																								Source Page
Aura of Corruption	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural.Aura	DESC:Treerazer exudes an aura of corruption to a radius of 120 feet, DC %1|10+(HD/2)+CON											SOURCEPAGE:p. 88
Defoliation			CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural		DESC:As a standard action once every 1d4 rounds, Treerazer can exude a pulse of defoliating energy in a 30-footradius spread, DC %1|10+(HD/2)+CON	SOURCEPAGE:p. 88
Unholy Aura			CATEGORY:Special Ability	TYPE:SpecialQuality.Aura			DESC:DC 25																								SOURCEPAGE:p. 88

#
# End
#
