# CVS $Revision: $ $Author: $ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
SOURCELONG:Heart of the Jungle	SOURCESHORT:HOTJ	SOURCEWEB:http://paizo.com/pathfinder/pathfinderChronicles/pathfinderRPG/v5748btpy8evh	SOURCEDATE:2010-07
# Original Entry by: Chris 'Barak' Chandler

# Ability Name			Category of Ability	Type				Description																																																		Cost		Source Page
Spider Vine Poison		CATEGORY:Afflictions	TYPE:Poison.Affliction	DESC:Poison, injury; Fort DC 15; Frequency 1/round for 6 rounds; Initial Effect paralysis; Secondary Effect 1d2 Con damage; Cure 2 consecutive saves																											COST:0	SOURCEPAGE:p.6
Bonecrusher (Dengue) Fever	CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease, injury; Fort DC 12; Onset 1 week; Frequency 1/day; Effect 1d4 Dex damage; Cure 2 consecutive saves																																	COST:0	SOURCEPAGE:p.7
Boot Soup				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (fungus), contact; Fortitude DC 16; Onset 1 day; Frequency 1/day; Effect speed reduced by 5 feet and 1d3 Dex damage, creatures reduced to speed 0 feet are permanently paralyzed; Cure 2 consecutive saves, or completely skinning or burning the affected area (inflicting 1d8 points of damage)	COST:0	SOURCEPAGE:p.7
Brainworms				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (parasite), contact or injury; Fort DC 14; Onset 1 day; Frequency 1/day; Effect 1d3 Wis damage and 1d3 Int damage, if damaged in combat, target must make a second Fort save or gain the confused condition for the duration of the encounter; Cure 2 consecutive saves					COST:0	SOURCEPAGE:p.7
Dysentery				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (parasite), contact or injury; Fort DC 16; Onset 1d3 days; Frequency 1/day; Effect 1d6 nonlethal damage and target is fatigued and staggered; Cure 2 consecutive saves																						COST:0	SOURCEPAGE:p.7
Firegut				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease, injury or inhaled; Fort DC 17; Onset 1 day; Frequency 1/day; Effect target is staggered; Cure 3 consecutive saves																														COST:0	SOURCEPAGE:p.7
Green Haze				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (fungus), contact; Fort DC 13; Onset 1 day; Frequency 1/day; Effect -4 on Perception checks, target is permanently blinded if fails 3 saves; Cure 2 consecutive saves																						COST:0	SOURCEPAGE:p.7
Greenscale				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease, injury; Fort DC 15; Onset 1d6 days; Frequency 1/week; Effect 1d2 Cha damage and 1d2 Dex damage, target must make a second Fort save or 1 point of the Cha damage is drain instead; Cure 2 consecutive saves															COST:0	SOURCEPAGE:p.7
Malaria (Jungle Fever)		CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease, injury; Fort DC 18; Onset 1d3 days; Frequency 1/day; Effect 1d3 Str damage and 1d3 Con damage and target is fatigued; Cure 2 consecutive saves																									COST:0	SOURCEPAGE:p.7
Pulsing Puffs			CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (fungus), injury; Fort DC 16; Onset 1 day; Frequency 1/day; Effect 1d4 Dex damage; Cure 2 consecutive saves																															COST:0	SOURCEPAGE:p.7
Red Drip				CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (fungus), contact; Fort DC 18; Onset 1 day; Frequency 1/day; Effect 1d4 Dex damage and 1d2 Cha damage; Cure 2 consecutive saves or amputation of infected hand																							COST:0	SOURCEPAGE:p.8
Sleeping Sickness			CATEGORY:Afflictions	TYPE:Disease.Affliction	DESC:Disease (parasite), injury; Fort DC 14; Onset 1d2 days; Frequency 1/day; Effect 1d4 Wis damage and target is fatigued; Cure 2 consecutive saves or arsenic (see text)																							COST:0	SOURCEPAGE:p.8
