
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03


# ------------------------------
# Gillman
# ------------------------------

###Block: Grant Abilities
# Ability Name						Define							Ability
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceAbilityScores|0		ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Ability Scores|PREVAREQ:Gillman_ReplaceAbilityScores,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceType|0				ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Type|PREVAREQ:Gillman_ReplaceType,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceSize|0				ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Size|PREVAREQ:Gillman_ReplaceSize,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceSpeed|0				ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Speed|PREVAREQ:Gillman_ReplaceSpeed,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceAmphibious|0			ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Amphibious|PREVAREQ:Gillman_ReplaceAmphibious,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceEnchantmentResistance|0	ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Enchantment Resistance|PREVAREQ:Gillman_ReplaceEnchantmentResistance,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceServitor|0			ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Servitor|PREVAREQ:Gillman_ReplaceServitor,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceWaterDependent|0		ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Water Dependent|PREVAREQ:Gillman_ReplaceWaterDependent,0
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	DEFINE:Gillman_ReplaceLanguages|0			ABILITY:Gillman Racial Trait|AUTOMATIC|Gillman ~ Languages|PREVAREQ:Gillman_ReplaceLanguages,0

###Block: Remove Abilities
# Ability Name						Modify VAR
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	BONUS:VAR|Gillman_ReplaceType|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GillmanAquatic
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	BONUS:VAR|Gillman_ReplaceSpeed|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GillmanSwimSpeed
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	BONUS:VAR|Gillman_ReplaceAmphibious|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GillmanAmphibious
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	BONUS:VAR|Gillman_ReplaceEnchantmentResistance|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GillmanEnchantmentResistance
CATEGORY=Internal|Racial Traits ~ Gillman.MOD	BONUS:VAR|Gillman_ReplaceWaterDependent|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Special Ability,TYPE.GillmanWaterDependent

