# CVS $Revision: $ $Author: $ -- Sun Aug 11 19:56:59 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Advanced Race Guide	SOURCESHORT:ARG	SOURCEWEB:http://paizo.com/products/btpy8rv2?Pathfinder-Roleplaying-Game-Advanced-Race-Guide	SOURCEDATE:2012-06
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2012/07/28

# Bestiary III - Remove once B3 is completed.
# Race Name	Starting Feats	Size		Move			Face/Space	Reach		Bonus Languages											Stat bonus						Automatically Gained Language	Main Race Type	Race Subtype		Type				Challenge Rating	Source Page		SORTKEY
Catfolk	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	LANGBONUS:Elven,Gnoll,Gnome,Goblin,Halfling,Orc,Sylvan				BONUS:STAT|DEX,CHA|2	BONUS:STAT|WIS|-2	AUTO:LANG|Common|Catfolk	RACETYPE:Humanoid	RACESUBTYPE:Catfolk	TYPE:Base.PC.Featured	CR:1/2		SOURCEPAGE:p.91	SORTKEY:a_base_pc
Ratfolk	STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	LANGBONUS:Aklo,Draconic,Dwarven,Gnoll,Gnome,Goblin,Halfling,Orc,Undercommon	BONUS:STAT|DEX,INT|2	BONUS:STAT|STR|-2	AUTO:LANG|Common			RACETYPE:Humanoid	RACESUBTYPE:Ratfolk	TYPE:Base.PC.Featured	CR:1/2		SOURCEPAGE:p.151	SORTKEY:a_base_pc

# Bestiary II
#Dhampir	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common			LANGBONUS:ALL											BONUS:STAT|DEX,CHA|2	BONUS:STAT|CON|-2			RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Dhampir		CR:1/2		SOURCEPAGE:p.97
#Fetchling	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common			LANGBONUS:Aklo,Aquan,Auran,Draconic,D'ziriak,Ignan,Terran				BONUS:STAT|DEX,CHA|2	BONUS:STAT|WIS|-2			RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.109
#Ifrit		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common,Ignan		LANGBONUS:Aquan,Auran,Dwarven,Elven,Gnome,Halfling,Terran				BONUS:STAT|DEX,CHA|2	BONUS:STAT|WIS|-2			RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.127
#Oread		STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	AUTO:LANG|Common,Terran		LANGBONUS:Aquan,Auran,Dwarven,Elven,Gnome,Halfling,Ignan,Undercommon		BONUS:STAT|STR,WIS|2	BONUS:STAT|CHA|-2			RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.145
#Sylph		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common,Auran		LANGBONUS:Aquan,Dwarven,Elven,Gnome,Halfling,Ignan,Terran				BONUS:STAT|DEX,INT|2	BONUS:STAT|CON|-2			RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.157
#Undine	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common,Aquan		LANGBONUS:Auran,Dwarven,Elven,Gnome,Halfling,Ignan,Terran				BONUS:STAT|DEX,WIS|2	BONUS:STAT|STR|-2			RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.175

# Bestiary I
#Aasimar	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common			LANGBONUS:Draconic,Dwarven,Elven,Gnome,Halfling,Sylvan				BONUS:STAT|WIS,CHA|2						RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.85
#Drow		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Elven,Undercommon	LANGBONUS:Abyssal,Aklo,Aquan,Common,Draconic,Drow Sign Language,Gnome,Goblin	BONUS:STAT|DEX,CHA|2	BONUS:STAT|CON|-2			RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Elf		CR:1/2		SOURCEPAGE:p.103
#Goblin	STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	AUTO:LANG|Goblin			LANGBONUS:Common,Draconic,Dwarven,Gnoll,Gnome,Halfling,Orc				BONUS:STAT|DEX|4	BONUS:STAT|STR,CHA|-2			RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Goblinoid	CR:1/2		SOURCEPAGE:p.115
#Hobgoblin	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common,Goblin		LANGBONUS:Draconic,Dwarven,Infernal,Giant,Orc						BONUS:STAT|DEX,CHA|2						RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Goblinoid	CR:1/2		SOURCEPAGE:p.121
#Kobold	STARTFEATS:1	SIZE:S	MOVE:Walk,20	FACE:5	REACH:5	AUTO:LANG|Draconic			LANGBONUS:Common,Dwarven,Gnome,Undercommon						BONUS:STAT|DEX|2	BONUS:STAT|STR|-4	BONUS:STAT|CON|-2	RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Reptilian	CR:1/2		SOURCEPAGE:p.133
#Orc		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5						LANGBONUS:Dwarven,Giant,Gnoll,Goblin,Undercommon					BONUS:STAT|STR|4	BONUS:STAT|INT,WIS,CHA|-2		RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Orc		CR:1/2		SOURCEPAGE:p.139
#Tengu		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common,Tengu		LANGBONUS:ALL											BONUS:STAT|DEX,WIS|2	BONUS:STAT|CON|-2			RACETYPE:Humanoid	TYPE:Base.PC.Featured	RACESUBTYPE:Tengu		CR:1/2		SOURCEPAGE:p.163
#Tiefling	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	AUTO:LANG|Common			LANGBONUS:Abyssal,Draconic,Dwarven,Elven,Gnome,Goblin,Halfling,Infernal,Orc	BONUS:STAT|DEX,INT|2	BONUS:STAT|CHA|-2			RACETYPE:Outsider	TYPE:Base.PC.Featured	RACESUBTYPE:Native		CR:1/2		SOURCEPAGE:p.169
#
###Block: Mods to change the sort order
# Race Name		SORTKEY
Aasimar.MOD		SORTKEY:a_base_pc
Catfolk.MOD		SORTKEY:a_base_pc
Dhampir.MOD		SORTKEY:a_base_pc
Drow.MOD		SORTKEY:a_base_pc
Fetchling.MOD	SORTKEY:a_base_pc
Goblin.MOD		SORTKEY:a_base_pc
Hobgoblin.MOD	SORTKEY:a_base_pc
Ifrit.MOD		SORTKEY:a_base_pc
Kobold.MOD		SORTKEY:a_base_pc
Orc.MOD		SORTKEY:a_base_pc
Oread.MOD		SORTKEY:a_base_pc
Ratfolk.MOD		SORTKEY:a_base_pc
Sylph.MOD		SORTKEY:a_base_pc
Tengu.MOD		SORTKEY:a_base_pc
Tiefling.MOD	SORTKEY:a_base_pc
Undine.MOD		SORTKEY:a_base_pc

# End
#
