# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Pathfinder Society	SOURCESHORT:PS	SOURCEWEB:http://paizo.com/pathfinderSociety	SOURCEDATE:2013-10

###Block: Modern Human Languages
# Language		Type
Azlanti.MOD		TYPE:PFSLegal
Hallit.MOD		TYPE:PFSLegal
Kelish.MOD		TYPE:PFSLegal
Osiriani.MOD	TYPE:PFSLegal
Polyglot.MOD	TYPE:PFSLegal
Shadowtongue.MOD	TYPE:PFSLegal
Shoanti.MOD		TYPE:PFSLegal
Skald.MOD		TYPE:PFSLegal
Tien.MOD		TYPE:PFSLegal
Varisian.MOD	TYPE:PFSLegal
Vudrani.MOD		TYPE:PFSLegal

###Block: Ancient Languages
# Language			Type
Ancient Osiriani.MOD	TYPE:PFSNotLegal
Jistka.MOD			TYPE:PFSNotLegal
Tekritanin.MOD		TYPE:PFSNotLegal
Thassilonian.MOD		TYPE:PFSNotLegal

###Block: Other Languages
# Language	Type
Necril.MOD	TYPE:PFSNotLegal
Orvian.MOD	TYPE:PFSNotLegal
